ItemCode,Description,CasePack,Source
FAM04-001,HTLA Olive Oil,1,family_group
FAM04-002,Oz Dalan Liq,2,family_group
FAM04-003,Oz Oz Dalan,1,family_group
FAM04-004,Dalan Liq Soap,1,family_group
FAM04-005,Dalan Liq Hand,3,family_group
FAM04-006,DLHS Dalan Liq,1,family_group
FAM04-007,Dalan Dalan Liq,1,family_group
FAM04-008,Olive Oil Soap,2,family_group
FAM04-009,Lucky Hand Lavender,1,family_group
FAM04-010,Soap Lucky Hand,2,family_group
FAM04-011,Ha Raindrop Soap,1,family_group
FAM04-012,BEAU nd Lucky,1,family_group
FAM04-013,Luck Hand Soap,1,family_group
FAM04-014,Luc Hand Soap,1,family_group
FAM04-015,Luc ky Hand,1,family_group
FAM04-016,ky Luc Hand,1,family_group
FAM04-017,ky Lucky Hand,1,family_group
FAM04-018,Lucky Hand Soap,7,family_group
FAM04-019,HTLA Lucky Hand,1,family_group
FAM04-020,Silk Hand Wash,4,family_group
FAM04-021,Round Sleeve Hand,2,family_group
FAM04-022,LU Round Round,1,family_group
FAM04-023,Yardley Premium Hand,3,family_group
FAM04-024,Palila Hand Soap,1,family_group
FAM04-025,BEAU Mermeid Hand,1,family_group
FAM04-026,Lucky Soap Refill,1,family_group
FAM04-027,Lucky Liquid Soap,2,family_group
FAM04-028,Yardley Bar Soap,1,family_group
FAM04-029,LU Yardley Mermeid,1,family_group
FAM04-030,HTLA Hair Spiking,1,family_group
FAM04-031,Hair Spray Freeze,1,family_group
FAM04-032,Hair Spray Super,1,family_group
FAM04-033,IM SS Lady,1,family_group
FAM04-034,Pray Detangler,1,family_group
FAM04-035,RIAH VIB Vibrance,1,family_group
FAM04-036,Gell Vibrance Styling,1,family_group
FAM04-037,Gell Vib Styling,1,family_group
FAM04-038,Vibrance Styling Gell,2,family_group
FAM04-039,BEAU BodyLicious Shampoo,1,family_group
FAM04-040,BodyLicious Conditioner,1,family_group
FAM04-041,Leave Conditioner,1,family_group
FAM04-042,Happy Hydration Conditioner,1,family_group
