ItemCode,Description,CasePack,Source
FAM05-001,Ltr Mop Bucket,1,family_group
FAM05-002,Ltr Heavy Mop,1,family_group
FAM05-003,Deluxe Large Angle,1,family_group
FAM05-004,Deluxe Jumbo Angle,1,family_group
FAM05-005,Multi Purpose Squeegee,1,family_group
FAM05-006,Good Grip Dustpan,1,family_group
FAM05-007,AA AA Long,1,family_group
FAM05-008,Long Handle Dustpan,1,family_group
FAM05-009,Straight Broom Dustpan,1,family_group
FAM05-010,Jumbo Squeegee Sponge,1,family_group
FAM05-011,Duster Telescopic Handle,1,family_group
FAM05-012,Microfiber Window Squeegee,1,family_group
FAM05-013,Two Tone Angle,1,family_group
FAM05-014,Broom Small Dustpan,1,family_group
FAM05-015,Angle Grey Broom,1,family_group
FAM05-016,Lobby Broom Dustpan,1,family_group
FAM05-017,AA Lobby Set,1,family_group
FAM05-018,Broom Soft Bristles,1,family_group
FAM05-019,Long Hanlde Broom,1,family_group
FAM05-020,Angle Broom Soft,1,family_group
FAM05-021,AA Microfiber Cotton,1,family_group
FAM05-022,Toilet Brush Set,1,family_group
FAM05-023,AA AA AA,1,family_group
FAM05-024,Dustpan Bottle Brush,1,family_group
FAM05-025,Sponge Dish Brush,1,family_group
FAM05-026,AA Gap Brush,1,family_group
FAM05-027,Sponge Brush Hand,1,family_group
FAM05-028,Dustpan Brush Set,1,family_group
FAM05-029,AA Toilet Plunger,1,family_group
FAM05-030,Spin Mop Star,1,family_group
FAM05-031,SMOORB AA Spin,1,family_group
FAM05-032,Microfiber Mop Head,1,family_group
FAM05-033,SS Spray Mop,1,family_group
FAM05-034,Broom Dustpan Set,1,family_group
FAM05-035,Dish Rack Drainer,1,family_group
FAM05-036,Dustpan Brush Green,1,family_group
FAM05-037,Scrub Brush Green,1,family_group
FAM05-038,Dish Brush Green,1,family_group
FAM05-039,BROOMS Dish Brush,1,family_group
FAM05-040,Bottle Brush Green,1,family_group
FAM05-041,BRUSHES Streight Broom,1,family_group
FAM05-042,Light Duty Sparkling,1,family_group
FAM05-043,Big Scouring Pads,1,family_group
FAM05-044,Xtra Types Scrubbing,1,family_group
FAM05-045,Stainles Steel Pads,1,family_group
FAM05-046,Profesional Grooved Sponge,1,family_group
FAM05-047,Xtra Cellulose Spong,1,family_group
FAM05-048,Abrasive Sponge Scrubbers,1,family_group
FAM05-049,Xtra Scrubbing Sponges,2,family_group
FAM05-050,Heavy Duty Premium,1,family_group
FAM05-051,Heavy Duty Scrub,1,family_group
FAM05-052,Xtra Soap Pads,1,family_group
FAM05-053,Soap Pads Steel,1,family_group
FAM05-054,Steel Wool Rolls,1,family_group
FAM05-055,Cellulose Sponge Cloths,1,family_group
FAM05-056,Car Boat Wash,1,family_group
FAM05-057,XTRA XTRA Premium,1,family_group
FAM05-058,Xtra Anti Microbrial,1,family_group
FAM05-059,Xtra Latex Cellulose,1,family_group
FAM05-060,Heav Duty Pot,1,family_group
FAM05-061,Galvan Pot Scourer,1,family_group
FAM05-062,ized Galvanized Pot,1,family_group
FAM05-063,x52 Bath Towel,1,family_group
FAM05-064,x19 Bar Mop,1,family_group
FAM05-065,AA BM007 Bar,1,family_group
FAM05-066,x12 Dish Cloth,1,family_group
FAM05-067,x25 Kitchen Towel,2,family_group
FAM05-068,x12 Wash Cloth,1,family_group
FAM05-069,Store Fresh Square,1,family_group
FAM05-070,AR Rack Three,1,family_group
FAM05-071,Multipurpose Plastic Storage,2,family_group
FAM05-072,Kitty Container No,4,family_group
FAM05-073,AR Plastic Stool,1,family_group
FAM05-074,AR Colors,1,family_group
FAM05-075,Dyna Bucket No,3,family_group
FAM05-076,Cosmos Dustpan Brush,1,family_group
FAM05-077,Deep Tub,1,family_group
FAM05-078,Oscar Basin,2,family_group
FAM05-079,Marshal Tub,1,family_group
FAM05-080,Swing Bin,2,family_group
FAM05-081,Safari Waste Paper,1,family_group
FAM05-082,Grace Basket Big,1,family_group
FAM05-083,Phoenix Basket,3,family_group
FAM05-084,Apple BasketMedium,1,family_group
FAM05-085,Voyager Basket,1,family_group
FAM05-086,Virgo Basket555,1,family_group
FAM05-087,Luxor Basket Lid,1,family_group
FAM05-088,Italy Container,1,family_group
FAM05-089,Modern Container Plain,2,family_group
FAM05-090,Super Container,1,family_group
