ItemCode,Description,CasePack,Source
FAM03-001,Ylang Ylang Regular,1,family_group
FAM03-002,GENERAL Business Tall,1,family_group
FAM03-003,HT Cannabis Cannabis,1,family_group
FAM03-004,Fast Luck Tall,1,family_group
FAM03-005,HT Feng Shui,1,family_group
FAM03-006,Money Drawing Tall,1,family_group
FAM03-007,Money House Tall,1,family_group
FAM03-008,HT San Miguel,1,family_group
FAM03-009,Success Tall Incense,1,family_group
FAM03-010,HT White Sage,1,family_group
FAM03-011,Awesome Trigger Kitchen,1,family_group
FAM03-012,Awesome Trigger Bathroom,1,family_group
FAM03-013,Awesome Trigger Laundry,1,family_group
FAM03-014,NG Awesome Trigger,2,family_group
FAM03-015,Awesome All Purpose,5,family_group
FAM03-016,Wizard Therapeutic Awesome,1,family_group
FAM03-017,Adjustable wesome All,1,family_group
FAM03-018,ALL PURPOSE CLEANER,1,family_group
FAM03-019,Auto Wheel Tire,1,family_group
FAM03-020,Auto Glass Cleaner,1,family_group
FAM03-021,Auto Protect All,1,family_group
FAM03-022,Auto Tire Shine,1,family_group
FAM03-023,Awesome Gallon WindShield,1,family_group
FAM03-024,Stain Odor Multi,1,family_group
FAM03-025,SREGGIRT EMOSEWA Awesome,1,family_group
FAM03-026,Multi Surface Cleaner,2,family_group
FAM03-027,Awesome Trigger Cleaner,1,family_group
FAM03-028,Awesome Trigger Awesome,1,family_group
FAM03-029,Trigger Rust Lime,1,family_group
FAM03-030,Awesome Trigger Mold,1,family_group
FAM03-031,Awesome Grout Cleaner,1,family_group
FAM03-032,Trigger Blue Window,1,family_group
FAM03-033,Awesome Trigger Window,1,family_group
FAM03-034,Awesome Trigger Foaming,1,family_group
FAM03-035,Awesome Method Daily,1,family_group
FAM03-036,DN RE AR,1,family_group
FAM03-037,Method Trigger Cleaner,1,family_group
FAM03-038,Method Trigger Kitchen,1,family_group
FAM03-039,Method Trigger Wood,1,family_group
FAM03-040,REDWOP oz Awesome,1,family_group
FAM03-041,Awesome Oxydol Oxygen,1,family_group
FAM03-042,Awesome Fabric Refresher,2,family_group
FAM03-043,HSID RENAELC 1622A,1,family_group
FAM03-044,Awesome Ultra Dish,4,family_group
FAM03-045,Awesome Laundry Detergent,10,family_group
FAM03-046,NG Awesome Laundry,1,family_group
FAM03-047,Awesome Laundry Softener,1,family_group
