Item,SKU,UPC,Unit Cost,Case Size
12X16 SLATE CUTTING BOARD,SG54028,0886466540270,6.0,1
SG54004,SG54004,0886466540287,3.0,1
SG54005,SG54005,0886466540041,0.25,12
SG54022,SG54022,0886466540218,10.0,1
SG54025,SG54025,0886466540225,6.0,1
SG54026,SG54026,0886466540263,2.5,4
CS35477,CS35477,0886466018816,6.0,1
CS35479,CS35479,0886466354778,0.5,12
SG54014,SG54014,0886466540133,20.0,1
SG54017,SG54017,0886466540140,12.0,1
2PK TABLE RISER MARBLE ROUND COLOR GIFT BOX,SG54018,0886466540171,5.0,4
SG36239,SG36239,0886466540195,2.0,6
TABLE RISER MARBLE COLOR GIFT BOX,SG38165,0886466381675,12.0,1
SG38168,SG38168,0886466381651,20.0,1
SG38166,SG38166,0886466381668,5.0,4
PB39847,PB39847,0886466375575,3.0,1
PB36296,PB36296,0886466398475,0.125,24
TR37222,TR37222,0886466362964,0.3333,6
3PK SOLID CLEANING WRAP BAND,KT36319,0886466452658,2.5,1
SH41219,SH41219,0886466363190,0.2083,24
SILICONE SPOON REST HANGBALE WRAP BAND,SR41736,0886466473486,0.0833,24
KT10479,KT10479,0886466417367,1.0,1
SINK STRAINER HEADER CARD,KT41152,0886466411525,0.0312,48
KT37521,KT37521,0886466370501,2.0,1
SILCONE SINK STRAINER,KT47458,0886466474582,0.0417,48
VF36330,VF36330,0886466379924,5.0,1
DM37994,DM37994,0886466379931,3.0,1
DM37995,DM37995,0886466379955,0.125,24
DM44876,DM44876,0886466378477,3.0,1
KT35493,KT35493,0886466448767,2.5,1
SILICONE GLOVE 72 Cu ft:,SC38346,0886466354938,0.2083,24
KT35467,KT35467,0886466354662,4.0,1
KT35469,KT35469,0886466354679,4.0,1
DM41768,DM41768,0886466417688,0.125,24
DR37472,DR37472,0886466374714,6.0,1
DR37473,DR37473,0886466374721,8.0,1
DR37474,DR37474,0886466374738,0.6667,12
DR51173,DR51173,0886466494702,8.0,1
DR51174,DR51174,0886466511737,0.6667,12
COLLAPSIBLE DISH WRAP CARD,DR40460,0886466371508,5.0,1
DR45839,DR45839,0886466404602,0.4167,12
SP10554,SP10554,0857198105549,0.2083,24
SH34337,SH34337,0886466362896,2.5,1
SH44120,SH44120,0886466343376,2.0,1
SH01750,SH01750,0886466441201,0.0833,24
SH41080,SH41080,0886466376251,3.0,1
FAUCET SPONGE 24 Cu ft:,SH41791,0886466410801,2.0,1
SH41792,SH41792,0886466417916,0.125,24
SD41147,SD41147,0886466353245,4.0,1
SD37927,SD37927,0886466379238,0.125,24
SD37925,SD37925,0886466379245,0.125,24
GUILDED LOTION DISPENSER ASST PDQ,SD35453,0886466379276,3.0,1
SD37926,SD37926,0886466354532,0.125,24
SD37929,SD37929,0886466379283,0.125,24
SD37692,SD37692,0886466376916,0.4167,12
SD37693,SD37693,0886466376923,0.4167,12
SD35157,SD35157,0886466351579,0.5,12
SD37697,SD37697,0886466351562,0.5,12
SD37698,SD37698,0886466376978,0.5,12
SD35155,SD35155,0886466376985,0.5,12
SD35159,SD35159,0886466351586,5.0,1
SD37137,SD37137,0886466351593,3.0,1
SD41681,SD41681,0886466416810,0.1667,24
SD41682,SD41682,0886466416803,3.0,1
SD41161,SD41161,0886466416827,7.0,1
SD39846,SD39846,0886466398468,0.2083,12
SD36291,SD36291,0886466362902,6.0,1
SD36292,SD36292,0886466362919,4.0,1
SD36293,SD36293,0886466362926,0.3333,12
SOAP DISPENSER W/SPONGE Pkg: COLOR WRAP,SD38402,0886466362957,0.4167,12
SD38403,SD38403,0886466384027,6.0,1
SINK CADDY W/BAMBOO BASE BASE COLOR WRAP,SD38404,0886466384034,0.3333,12
SD38406,SD38406,0886466384058,0.4167,12
SPOON VISTA,KT44633,0886466446329,0.0833,24
SLOTTED SPOON HEADER CARD,KT44634,0886466446336,2.0,1
KT44630,KT44630,0886466446305,0.0833,24
KT41727,KT41727,0886466446312,1.0,1
VEGETABLE PEELER HEADER CARD,KT10421,0886466417275,2.0,1
KT10250,KT10250,0857198104214,0.1042,24
BOTTLE OPENER Pkg: HEADER CARD,KT44744,0886466447432,0.0625,24
CAN OPENER,KT41547,0886466447449,0.0833,24
CAN OPENER W/RUBBER GRIP HEADER CARD,KT10251,0857198102517,0.1667,24
ALUMINUM NUTCRACKER HEADER CARD,KT37537,0886466452221,4.0,1
NUTCRACKER W/WOODEN HEADER CARD,KT38342,0886466375377,3.0,1
KT47275,KT47275,0886466383426,0.0833,24
S/S SLOTTED SPOON HEADER CARD,KT35623,0886466356222,2.0,1
