Item,SKU,UPC,Unit Cost,Case Size
"Luvs Platinum Protection With Bluey Triple Leakguard Diapers, Size 6, 20 ct 48/pt 4/cs",58067,030772158067,1.9625,4
"Luvs Platinum Protection With Bluey Triple Leakguard Diapers, Size 7, 18 ct 48/pt 4/cs",15824,030772158241,1.9375,4
Lysol All Purpose Cleaner Trigger Lemon Breeze 32oz. (36plt) 12/cs,75352,019200753524,0.3542,12
Lysol Antibacterial Disinfectant Wipes Brand New Day Mango & Hibiscus Scent 35 Count 70/pt 12/cs,09865,019200986588,0.2083,12
Lysol Automatic Toilet Bowl Freshening Hook Coconut Water & Sea Minerals Scent 2pt 2.82oz 240/pt 4/cs,99905,019200999052,0.6875,4
Lysol Brand New Day toilet cleaner Mango & Hibiscus 2ct 2.82oz 4/cs,96317,019200963176,0.9375,4
"Lysol Disinfectant Spray Aerosol, Spring Waterfall, 12.5 oz 126/pt 12/cs",02845,019200028455,0.4042,12
"Lysol Disinfectant Wipes 80ct/4pk 2/Lemon & Lime Blossom, 1/Crisp Linen, 1/Mango & Hibiscus, 40/pt 3/cs",99918,019200999182,1.3167,3
"Lysol Disinfecting Wipes, 1 Lemon & Lime Blossom, 1 Mango & Hibiscus &1 Crisp Linen 105ct (3X35ct) 70/pt",99912,019200999120,0.6625,4
"Lysol Disinfecting Wipes, Lemon & Lime Blossom, 320ct (4x80ct) 40/pt 3/cs",83704,019200837040,1.25,3
Lysol Dual Action Wipes Citrus Scent 75ct 75/pt 6/cs,81700,019200817004,1.125,6
"Lysol Foamer Aerosol Bathroom Cleaner, Brand New Day Mango &H ibiscus, 19oz 84/pt 12/cs",89058,019200890588,0.2917,12
Lysol Multi-Purpose Cleaner with Bleach 32 fl oz Trigger Bottle 36/pt 12/cs,78914,019200789141,0.3625,12
Lysol Power Bathroom Cleaner Soap Scum & Shine 22 oz 100/pt 6/cs,90036,019200900362,0.55,6
"LYSOL Professional Brand Antibacterial All-Purpose Cleaner, 128 oz 36/pt 4/cs",17439,036241743925,3.0,4
"Lysol Toilet Bowl Cleaner, Lime and Rust Clinging Gel 24 Ounce 80/pt 9/cs",80088,019200800884,0.3056,9
LYSOL® Disinfectant Spray - Early Morning Breeze 12.5 oz 126/pt 12/cs,80833,019200808330,0.4375,12
"Microban 24 Hour Multi-Purpose and Disinfectant Cleaner, Citrus, 32 fl oz 6/cs",47415,037000474159,0.75,6
"Microban 24 Hour Sanitizing Spray, Fresh Scent 12.5 OZ 6/cs",48774,037000487746,0.9583,6
"Mitchum Anti-Perspirant & Deodorant Roll-On, Unscented 3.4 oz 24/cs",85915,309971185915,0.1042,24
"Mitchum Men Gel Anti-Perspirant & Deodorant, Unscented Gel 3.4 oz2 4/cs",63200,309978632009,0.1458,24
"Mitchum Women Antiperspirant Deodorant, Roll-On, Powder Fresh 1.7 oz2 4/cs",18586,309971185861,0.1042,24
"Mitchum Women Gel Antiperspirant & Deodorant, Powder Fresh 3.4 Oz 24/cs",63600,309978636007,0.1458,24
