UPC,Description,Unit Cost,Qty
046500216121,RAID 12z ANT & ROACH OUTDOOR FRESH,3.5,12
023400519606,COMBAT MAX 2.1z ROACH GEL SYRINGE,8.99,12
046500721311,OFF 4z 2PK DEEP WOOD INSECT RPPLNT,6.0,12
046500016608,RAID 15oz FLYING INSECT OUTDOOR FRS,4.25,12
046500043192,RAID 17.5z WATERBASED ANT & ROACH,4.25,12
046500040150,D RAID 36PC 17.5z I ANT/ROACH DISPLAY S,3.75,36
046500031878,"RAID ESSNTL 10z FLY,GNAT,MSQTO KLLR",2.4,6
046500816666,RAID 18z FLYING INSECT OUTDOOR FRSH,4.75,12
5060120164087,ARGAN OIL 10.6z CD W/MRCN OIL TUBE,1.75,12
8001841555751,AUSSIE 9.8z SHMP SOS KISS OF LIFE,1.8,12
6281006597549,DOVE 11.83z COND DAILY CARE,2.65,12
8909106035812,DOVE 1LIT SHMP HAIR FALL RESCUE PMP,6.0,8
8006540109472,AUSSIE 6.7z COND BANGIN SHINE TUBE,1.8,6
6281006597563,DOVE 11.83z CD HAIR FALL RESCUE,2.65,12
8909106035836,DOVE 1LIT SHMP DAILY SHINE PMP,6.0,8
8909106035829,DOVE 1LIT SHMP INTENSE REPAIR PMP,6.0,8
8720181375231,DOVE 700ML MEN 2N1 SH/BW CLN COMFRT,5.0,6
603084078387,GARNIER 12z COND WHL BLND CHARCOAL,2.4,6
5021044146634,GARNIER 15PC PDQ DISP SHMP ASSTD,2.4,15
603084078394,GARNIER 26.6z SH WHL BLND CHARCOAL,4.5,4
030772064313,H&S 10.9z CD SHEA BUTTER,2.75,12
8720181375118,DOVE 700ML MEN 2N1 SH/BW XTRA FRESH,5.0,6
603084063420,GARNIER 12z WHL BLND HLNG SH PMP,2.4,6
3600542424738,GARNIER 60G WHL BLND SH BAR CCNT WT,1.2,12
4902430752817,H&S 13.5z CD SPRME SCALP MSTRE TUBE,3.0,6
4987176038388,H&S 6.7z SMOOTH & SILKY,1.8,6
