UPC,Description,Unit Cost,Qty
9556006280065,LISTERINE 1 LITER M/W ORIGINAL,5.5,1
3574661684291,LISTERINE 250ML MW MILD & MINTY,1.8,1
8850007818069,LISTERINE 500ML M/W GREEN TEA MILD,2.75,1
6003001015596,LISTERINE 500ML TTL CARE CLN MINT,2.75,1
4891080801665,LISTERINE 1 LITER M/W TOTAL CARE,5.5,1
3574661684284,LISTERINE 250ML MW SPEARMINT,1.8,1
4801010217305,LISTERINE 500ML M/W TOTAL CARE,2.75,1
037000771128,SCOPE 33.8Z 2pk MW OUTLAST MINT,6.6,1
037000756637,SCOPE 50.7z MW CLASSIC FRESH MINT,5.75,1
030772236840,SCOPE 8.4z M/W ORIG CLN MINT,1.25,1
030772157084,BOUNTY 12=24 82sht SAS PAPER TOWEL,1.9,1
030772110911,BOUNTY ESSNTL 2RL SAS 108SHT PP TWL,3.25,1
03077204516,CHARMIN ESSNTL 9RL STRNG 1PLY 429SH,6.75,1
036000374575,KLEENEX 230CT 2 PLY FACIAL TISSUE,2.4,1
037000348856,BOUNTY 200CT NAPKINS WHITE,2.75,1
030772110959,BOUNTY ESSNTL 6RL SAS 108SHT PP TWL,8.0,1
3034250007813,KLEENEX 12PK ORGINAL POCKET TISSUE,1.8,1
5029053560762,KLEENEX 8PK 9CT POCKET TISSUE(24),1.2,1
037000772514,PUFFS ULTRA 48CT 2PLY FACIAL TISSUE,1.1,1
061328805050,SCOTTIES 126SHT 2PLY WHTE FACIAL TS,1.2,1
061328802172,SCOTTIES 9PK TISSUE 100 SHEET 2-PLY,10.8,1
054000123344,SCOTT 1000 SHT 36 ROLL BATH TISSUE,30.6,1
061328801366,SCOTTIES 6PK TISSUE 126 SHEET 2-PLY,7.2,1
023400419135,COMBAT 8CT LARGE ROACH BAIT STAIO,4.25,1
046500721311,OFF 4z 2PK DEEP WOOD INSECT RPPLNT,6.0,1
046500016608,RAID 15oz FLYING INSECT OUTDOOR FRS,4.25,1
046500816666,RAID 18z FLYING INSECT OUTDOOR FRSH,4.75,1
019200783576,DCON 2PK MOUSE TRAP NO VIEW NO TCH,3.25,1
046500216121,RAID 12z ANT & ROACH OUTDOOR FRESH,3.5,1
046500043192,RAID 17.5z WATERBASED ANT & ROACH,4.25,1
046500040150,D RAID 36PC 17.5z I ANT/ROACH DISPLAY S,3.75,1
046500767463,RAID 4CT ANT BAITS,4.5,1
046500031878,"RAID ESSNTL 10z FLY,GNAT,MSQTO KLLR",2.4,1
5060120164087,ARGAN OIL 10.6z CD W/MRCN OIL TUBE,1.75,1
8001841555751,AUSSIE 9.8z SHMP SOS KISS OF LIFE,1.8,1
6281006597549,DOVE 11.83z COND DAILY CARE,2.65,1
8720181375118,DOVE 700ML MEN 2N1 SH/BW XTRA FRESH,5.0,1
8006540109472,AUSSIE 6.7z COND BANGIN SHINE TUBE,1.8,1
6281006597563,DOVE 11.83z CD HAIR FALL RESCUE,2.65,1
8720181375231,DOVE 700ML MEN 2N1 SH/BW CLN COMFRT,5.0,1
603084078387,GARNIER 12z COND WHL BLND CHARCOAL,2.4,1
603084063420,GARNIER 12z WHL BLND HLNG SH PMP,2.4,1
5021044146634,GARNIER 15PC PDQ DISP SHMP ASSTD,2.4,1
3600542424738,GARNIER 60G WHL BLND SH BAR CCNT WT,1.2,1
030772064313,H&S 10.9z CD SHEA BUTTER,2.75,1
030772063996,H&S 28.2z 2n1 MEN OS SWAGGER PMP,9.75,1
5021044146634,GARNIER 15PC 400ML SHMP ASSTD RPK,2.4,1
603084078394,GARNIER 26.6z SH WHL BLND CHARCOAL,4.5,1
2607097979250,GILLETTE LABS 7z 2PK FOAM SHAVE GEL,6.5,1
4902430752817,H&S 13.5z CD SPRME SCALP MSTRE TUBE,3.0,1
4987176038388,H&S 6.7z SMOOTH & SILKY,1.8,1
190679004833,HERBAL ESSENCE 29.2z CD HYDRAT PMP,7.0,1
190679004819,HERBAL ESSENCE 29.2z SH HYDRATN PMP,7.0,1
5011321594296,HERBAL ESSENCE 400ML SH HYDRATION,2.4,1
8006540853795,HERBAL ESSENCE 400ML SH LOVE ME LNG,2.4,1
5011321594470,HERBAL ESSENCE 400ML SH SHINE DAZZL,2.4,1
190679007643,HERBAL ESSENCE 29.2z JOJOBA&LAV CD,4.75,1
190679005182,HERBAL ESSENCE 29.2z TEA TREE COND,4.75,1
8700216420693,HERBAL ESSENCE 400ML SH HYDRTN TRPC,2.4,1
4084500910119,HERBAL ESSENCE 400ML SH RASP&MINT,2.4,1
4084500128323,HERBAL ESSENCE 400ML SH SHINE DETOX,2.4,1
5011321595200,HERBAL ESSENCE 400ML SHMP ROSE,2.4,1
071249657713,LOREAL 8.5z CD EVER PURE SMLY TUBE,3.0,1
030772182468,NATIVE 16.5z CD PASSIONFRUIT,5.75,1
030772182451,NATIVE 16.5z SH PASSIONFRUIT,5.75,1
812154038118,NATIVE 3z SH EUCAL&MINT 2N1 SCALP,1.4,1
071249651032,LOREAL 28z ELVIV CD DREAM CURL PMP,4.5,1
030772166574,NATIVE 16.5z CD HOLIDAY GUMDROP,4.25,1
030772182482,NATIVE 16.5z CD WATRMELON,5.75,1
030772182444,NATIVE 16.5z SH WATRMELON,5.75,1
022796900111,OGX 13z COND ARGAN OIL OF MOROCCO,4.75,1
022796916112,OGX 13z SHMP ARGAIN OIL OF MOROCCO,4.75,1
022796900906,OGX 13z SHMP COCONUT CURLS,4.75,1
9300607470017,OGX 13z SHMP COCONUT MIRACLE OIL,4.75,1
012044049952,OLD SPICE 14.8z GM APRICT 2N1 SH/CD,4.0,1
4902430790710,PANTENE 10.1z SH TOTAL DAMAGE CARE,2.4,1
022796900104,OGX 13z SHMP ARGAN OIL OF MOROCCO,4.75,1
022796910059,OGX 13z SHMP COCONUT MILK,4.75,1
3574661648224,OGX 385ML COND NIACIN & CAFFEINE,4.75,1
012044049938,OLD SPICE 14.8z GM TEATREE 2N1 SH/C,4.0,1
4987176211590,PANTENE 10.1z SHMP NOURISHED SHINE,2.4,1
080878194957,PANTENE 10.4z CD DAILY MSTRE TUBE,4.4,1
8006540988442,PANTENE 275ML CD COLOR PROTECT TUBE,2.4,1
8001841266787,PANTENE 300ML 3n1 SH/CD SMTH & SLK,2.4,1
080878195558,PANTENE PRO-V 12z 2n1 DAILY MSTRE,4.5,1
080878195640,PANTENE PRO-V 12z SH CLASSIC CLEAN,4.5,1
4902430792929,PANTENE 11.1z SHMP SILKY SMOOTH,2.4,1
080878195909,PANTENE 2PK RDNT COLOR 10zSH/9zCD,7.2,1
080878195633,PANTENE PRO-V 12z 2n1 CLASSIC CLEAN,4.5,1
080878195558,PANTENE PRO-V 12z 2n1 DAILY MSTRE,4.5,1
080878195565,PANTENE PRO-V 12z SH DAILY MSTRE,4.5,1
080878195626,PANTENE PRO-V 12z SH RADNT CLR SHNE,4.5,1
080878195589,PANTENE PRO-V 12z SH SMOOTH & SLEEK,4.5,1
080878195602,PANTENE PRO-V 12z SHMP SHEER VOLUME,4.5,1
079400491824,SUAVE 20z KIDS SH F/CURLS ALMND PMP,2.65,1
8720181475078,TRESEMME 300ML CD BIOTIN REPAIR,1.75,1
080878195626,PANTENE PRO-V 12z SH RADNT CLR SHNE,4.5,1
080878195664,PANTENE PRO-V 12z SHMP REPAIR PRTCT,4.5,1
8006540801611,PANTENE PRO-V 400ML SH VOLUME BODY,3.0,1
8710447223352,TRESEMME 23.67z SH BIOTIN REPAIR,2.75,1
022400450711,TRESEMME 40z COND RICH MSTRE W/PMP,3.6,1
9300830095414,TRESEMME 750ML COND MOISTURE RICH,3.0,1
9300830095384,TRESEMME 750ML SHMP MOISTURE RICH,3.0,1
5012254059388,TRESEMME 900ML SHMP SMOOTH & SILKY,3.6,1
816559012056,VO5 12.5z COND DAILY RVTLZNG BIOTIN,0.84,1
9300830095445,TRESEMME 750ML SHMP CLEANSE RPLNSH,3.0,1
9300830095506,TRESEMME 750ML SHMP VOLUME FULLNESS,3.0,1
816559012971,VO5 12.5z COND BLACKBERRY SAGE,0.84,1
3086123262270,BIC 4CT MISS SOLEIL 3 BLADE RAZ 3+1,3.6,1
3086127500934,BIC 5CT TWIN LADY SENSITIVE RAZAR,1.35,1
069055137147,BRAUN 8PC TRIMMER KIT ALLn1 3 SET,18.0,1
047400670389,GILLETTE 10CT BLACK 2 BLD RZR,2.65,1
3086125705027,BIC 5CT DISPOSABLE RAZORS,0.75,1
047400691933,BRAUN 4PC BEARD TRMR/EDGR PRO SET,24.0,1
