UPC,ASIN,Description,Channel,Cost,Sell Price,Referral Fee,Fulfillment Fee,Profit/Unit,Margin %,ROI %,Units/mo,BSR,Amazon Buy Box,Verdict
051141906676,B0BRYLNPB9,Scotch/Transparent Tape Floorstand Display/.75in x 250in/144/2/ct,FBA,1.2,260.28,39.04,3.5,216.04,83.0,12708.1,0,0,False,marginal
023400519606,B009UY5OYY,Combat/Roach Killing/Gel/12/60/gr,FBA,6.8275,120.07,18.01,4.62,90.11,75.0,1229.8,0,726477,False,marginal
054000101830,B07NN6SVFV,Scott/Regular/ 4pk/12/1000/ct,FBA,4.4183,50.86,7.63,6.75,31.56,62.1,641.7,0,1043269,False,marginal
046500164798,B00S0NA130,Raid/Fast Kill Ant & Roach/Lemon/12/17.5/oz,FBA,3.6717,63.36,9.5,18.35,31.33,49.5,751.1,0,549779,False,marginal
714367350646,B07F6TNW4P,Trash Away/Drawstring/Trash 30gl Black/12/20/ct,FBA,4.1867,32.74,4.91,6.02,17.12,52.3,365.3,0,0,False,marginal
012587572634,B000OOZ81I,Glad/Zipper Bags/Sandwich/12/50/ct,FBA,1.55,32.09,4.81,10.17,15.06,46.9,734.5,0,1120643,False,marginal
043032034087,B074L8MMXS,Marcal Pride/Bath Paper//20/1000/sh,FBA,0.752,29.49,4.42,13.72,10.09,34.2,806.3,50,144191,False,buy
012587790083,B075MC5Q4W,Glad/Forceflex Drawstring/Tall Kitchen Unscented Odor Shield 13gl/6/40/ct,FBA,9.7483,27.99,4.2,5.76,7.78,27.8,75.9,0,170576,False,marginal
036000566550,B0GFYD4DB5,Cottonelle/Flushable Wipes/Fragrance Free/12/42/ct,FBA,1.0308,14.28,2.14,4.35,6.26,43.8,408.8,0,264217,False,marginal
041165025156,B081HX2YKH,Solo/Plastic Bowls/Squared 20oz/10/22/ct,FBA,3.135,19.99,3.0,8.6,4.76,23.8,130.9,0,0,False,marginal
012587785331,B00T3B2HJ4,Glad/Drawstring/Tall Kitchen White Lavender Odor Shield 13gl/3/80/ct,FBA,15.4533,32.13,4.82,7.5,3.86,12.0,24.2,0,1171301,False,marginal
012587791585,B08KJL4TD4,Glad/Force Flex/Tall Kitchen 13gl/3/120/ct,FBA,13.6667,29.99,4.5,7.56,3.76,12.6,26.6,0,291694,False,marginal
714367351469,B078F9KYDB,White Swan/Scented Candle/Juicy Mango/6/10/oz,FBA,3.25,16.99,2.55,7.63,3.06,18.0,81.6,0,5090999,False,marginal
046500767463,B01FW4DZR8,Raid/Ant Bait/Red Box/12/4/ct,FBA,2.6192,11.74,1.76,4.09,2.77,23.6,88.8,0,2329792,False,marginal
051131790421,B07DLKH3FV,Scotch/Transparent Tape/.75in x 300in/72/3/ct,FBA,1.2097,8.8,1.32,3.01,2.76,31.4,161.4,0,899177,False,marginal
046500119521,B002LHK89I,Raid/Ant & Roach/Outdoor Fresh 2pk/5/17.5/oz,FBA,7.342,20.49,3.07,7.38,2.19,10.7,28.0,0,507926,False,marginal
019200783576,B0044UMMY4,D-CON/Bait Station/No View No Touch Mouse Trap/6/2/ct,FBA,2.83,9.99,1.5,3.24,1.92,19.2,57.7,50,32062,False,buy
036000374575,B07Z8TSNXB,Kleenex//White/10/230/ct,FBA,2.5,13.98,2.1,7.71,1.17,8.4,39.1,500,183,False,marginal
012587550502,B00099XMRA,Glad/Zipper Bags Storage/Gallon/12/20/ct,FBA,1.7075,8.02,1.2,3.5,1.11,13.8,50.3,0,0,False,marginal
012587570357,B000VB69FS,Glad/Zipper Bags Freezer/Quart/12/20/ct,FBA,1.7075,7.49,1.12,3.24,0.92,12.3,41.6,50,248353,False,marginal
046500117176,B007W9BMNQ,Raid/Fast Kill Ant & Roach/Unscented/12/17.5/oz,FBA,3.6717,13.28,1.99,6.23,0.89,6.7,21.2,0,613690,False,marginal
012587703595,B002YHPYOO,Glad/ForceFlex Drawstring/Trash Black 30gl/6/25/ct,FBA,9.7483,36.94,5.54,20.34,0.81,2.2,7.9,0,21585,False,marginal
012587783610,B005GSYXJ0,Glad/Drawstring/Tall Kitchen White Fresh Clean Odor Shield 13gl/6/40/ct,FBA,9.7483,19.72,2.96,5.76,0.75,3.8,7.4,3000,731,False,marginal
012587550526,B00YHEKGTU,Glad/Zipper Bags Storage/Quart/12/25/ct,FBA,1.7075,7.29,1.09,3.24,0.75,10.3,33.9,200,122373,False,marginal
054000506178,B0BB9FQ6H9,Scott/Comfort Plus/Regular Roll 4pk/12/116/ct,FBA,1.03,8.48,1.27,5.18,0.5,5.9,32.5,0,349368,True,skip
012587789667,B01N4KMLUD,Glad/Drawstring/Trash Black 30gl/6/28/ct,FBA,9.7483,20.18,3.03,6.48,0.42,2.1,4.1,0,804238,False,marginal
012587000700,B00099XMAW,Glad/Quick Tie/Tall Kitchen White 13 gl/12/15/ct,FBA,3.8508,9.45,1.42,3.5,0.18,1.9,4.2,200,107913,False,marginal
019200983426,B074CB7Y6G,D-CON/Bait Station/Corner Fit/6/3/ct,FBA,4.3133,9.74,1.46,3.43,0.04,0.4,0.7,3000,679,True,skip
012587001806,B0009P67S0,Glad/Sandwich Bags//12/180/ct,FBA,1.6833,6.42,0.96,3.5,-0.23,-3.5,-10.4,1000,18440,False,skip
043100062080,B009106LFS,Mead/Spiral Notebook/Five Star College Ruled 5 Subject Assorted Colors/6/200/sh,FBA,3.6717,11.7,1.75,6.02,-0.25,-2.1,-5.9,0,1129225,False,skip
012587223604,B0C4BTCR8C,Glad/Drawstring/Medium Trash 8gl/6/26/ct,FBA,4.1867,9.48,1.42,3.91,-0.54,-5.7,-11.5,4000,1269,False,skip
012587570340,B0014CZ0Z8,Glad/Zipper Bags Freezer/Gallon/12/15/ct,FBA,1.7075,5.99,0.9,3.5,-0.62,-10.3,-27.9,0,343827,False,skip
600686921073,B011896D84,Dine Away/Plastic Cups/Clear 7oz/12/100/ct,FBA,1.9458,6.95,1.04,4.37,-0.91,-13.1,-37.1,0,1145036,False,skip
023400519637,B00ZA2E6IK,Combat/Roach Killing/Gel/12/30/gr,FBA,5.4775,9.74,1.46,3.24,-0.94,-9.6,-15.7,0,1359513,False,skip
046500017148,B002AANBRC,Raid/Ant Killer/Pine Forest Fresh/12/17.5/oz,FBA,3.6717,10.99,1.65,6.23,-1.06,-9.6,-25.4,0,941299,False,skip
046500043994,B0CBVYSM3N,Off/Insect Repellent Spray/Clean Feel Fragrance Free/12/5/oz,FBA,2.49,6.29,0.94,4.08,-1.72,-27.4,-57.6,0,526740,False,skip
012587600351,B00NLMKJMS,Glad/Quick Tie/Trash Black 30 gl/4/40/ct,FBA,10.0475,27.68,4.15,14.9,-1.92,-6.9,-18.2,0,0,False,skip
046500717642,B0087RVEPI,Off/Insect Repellant Spray/Deep Woods/12/4/oz,FBA,2.8925,6.49,0.97,4.08,-1.96,-30.1,-57.7,3000,794,True,skip
030772045374,B0CQMBH97P,Charmin/Essentials Soft/Mega Roll 6pk/3/330/ct,FBA,5.19,13.38,2.01,7.71,-2.03,-15.1,-35.6,0,1028152,False,skip
036000566567,B0DNRHB4NQ,Cottonelle/Flushable Wet Wipes/Fragrance Free FlipTop 2pk/8/42/ct,FBA,3.145,6.99,1.05,4.37,-2.07,-29.7,-56.9,9000,166,False,skip
042000356015,B00HFDLTV4,Vanity Fair/Napkins/Everyday/6/110/ct,FBA,2.0517,5.95,0.89,4.67,-2.16,-36.4,-84.8,0,319584,False,skip
036000489897,B07C9KB9CK,Cottonelle/Flushable Wet Wipes/GentlePlus Aloe & Vitamin E/2/168/ct,FBA,4.935,7.64,1.15,5.28,-4.22,-55.2,-77.7,3000,6488,True,skip
046500007903,B07GXHV9VL,Raid/Insect Killer Spray/Foaming Bed Bug/6/16.5/oz,FBA,7.3533,10.84,1.63,5.84,-4.48,-41.3,-57.0,1000,12756,True,skip
036000119770,B0091J4W14,Kleenex/Tissue/On The Go 3ply 3pk/28/10/sh,FBA,0.7257,0.0,0.3,3.24,-4.77,0.0,-388.8,800,468969,False,skip
046500739637,B00BCXSB5U,Raid/Fast Kill Ant & Roach/Lavender/12/17.5/oz,FBA,3.6717,5.28,0.79,5.38,-5.06,-95.9,-121.4,3000,39,True,skip
054000200427,B00HCTFMGO,Scott/Bath Paper//36/1000/sh,FBA,0.7914,0.0,0.3,3.5,-5.09,0.0,-394.3,0,0,False,skip
054000100604,B074QVD6ZD,Scott/Regular/ 12pk/4/1000/ct,FBA,13.14,19.99,3.0,8.62,-5.27,-26.4,-38.6,50,102,False,skip
012587607640,B004XJMBQ0,Glad/Handle-Tie/Tall Kitchen 13gl/4/50/ct,FBA,10.0475,13.59,2.04,6.31,-5.31,-39.0,-50.3,2000,7255,True,skip
036000542660,B0HBRFX1CH,Kleenex/Facial Tissue Display/Flat Box/72/160/ct,FBA,1.5,0.0,0.3,3.5,-5.8,0.0,-290.0,0,0,False,skip
012587786925,B00QVQG97A,Glad/ForceFlex/Tall Kitchen Gain Original Odor Sheild 13 Gallon/6/34/ct,FBA,9.7483,11.98,1.8,5.76,-5.83,-48.6,-56.8,500,36869,False,skip
714367351001,B0DRZ3CFNV,"Dine Away/Premium Plastic Plates/7""/20/50/ct",FBA,1.5675,0.0,0.3,3.5,-5.87,0.0,-283.8,0,0,False,skip
714367353708,B09CS39GM4,Ditto/Sandwich Bag (Compare To Ziploc)//9/150/ct,FBA,1.7,0.0,0.3,3.5,-6.0,0.0,-272.7,0,0,False,skip
714367353623,B09CRZ41YM,Ditto/Freezer Bag (Compare To Ziploc)/Quart/9/38/ct,FBA,1.7,0.0,0.3,3.5,-6.0,0.0,-272.7,0,0,False,skip
714367353685,B09CRPG31F,Ditto/Storage Bag (Compare To Ziploc)/Gallon/9/38/ct,FBA,1.7,0.0,0.3,3.5,-6.0,0.0,-272.7,0,0,False,skip
714367353661,B09CRT66GZ,Ditto/Storage Bag (Compare To Ziploc)/Quart/9/48/ct,FBA,1.7,0.0,0.3,3.5,-6.0,0.0,-272.7,0,0,False,skip
714367353647,B09CRKVGPG,Ditto/Freezer Bag (Compare To Ziploc)/Gallon/9/28/ct,FBA,1.7,0.0,0.3,3.5,-6.0,0.0,-272.7,0,0,False,skip
714367353890,B0DRZ4BJTD,"Dine Away/Premium Plastic Plates/10""/10/40/ct",FBA,3.135,0.0,0.3,3.5,-7.43,0.0,-204.5,0,0,False,skip
714367350981,B0DRZ5MVGW,"Dine Away/Premium Plastic Plates/9""/10/50/ct",FBA,3.135,0.0,0.3,3.5,-7.43,0.0,-204.5,0,0,False,skip
714367351186,B073PJQ61G,White Swan/Scented Candle/Cotton Breeze/6/10/oz,FBA,3.25,0.0,0.3,3.5,-7.55,0.0,-201.3,0,0,False,skip
030772045152,B0BDSP6WPS,Charmin/Essentials Strong/Mega Roll 6pk/3/429/ct,FBA,5.19,5.77,0.87,6.94,-7.73,-133.9,-135.8,10000,2255,True,skip
037000348856,B000VCFB0G,Bounty/Napkins/White/4/200/ct,FBA,3.5775,3.48,0.52,6.78,-7.9,-227.0,-193.7,100000,50,True,skip
036000406467,B00ON83F3E,Cottonelle/Flushable Wet Wipes/Fresh Care 2pk/8/42/ct,FBA,3.145,0.0,0.3,4.37,-8.31,0.0,-228.1,0,0,False,skip
714367352053,B07Q8VQJF4,White Swan/Scented Candle/Shea Butter/6/10/oz,FBA,3.25,0.0,0.3,5.93,-9.98,0.0,-266.1,0,0,False,skip
714367351841,B07PVZ9TSY,White Swan/Scented Candle/Just Cinnamon/6/10/oz,FBA,3.25,0.0,0.3,6.02,-10.07,0.0,-268.5,0,6757282,False,skip
041165022001,B00931O9TK,Solo/Plastic Plates/Squared 9in/32/20/ct,FBA,3.135,0.0,0.3,6.29,-10.22,0.0,-281.3,0,0,False,skip
600686921059,B07FK5GZ4G,"Dine Away/Premium Plastic Plates/7""/8/100/ct",FBA,3.94,0.0,0.3,5.61,-10.35,0.0,-233.1,0,1045941,False,skip
036000103588,B00VFTIPKM,Cottonelle/Flushable Wet Wipes Floorstand Display/Fresh Care/20/168/ct,FBA,4.9335,0.0,0.3,5.16,-10.89,0.0,-200.5,0,596789,False,skip
714367350585,B07F6XVLZV,Trash Away/Drawstring/Tall Kitchen 13gl White/12/35/ct,FBA,4.1867,0.0,0.3,6.01,-11.0,0.0,-234.6,0,0,False,skip
714367351162,B076PVKSBG,White Swan/Scented Candle/Lavender Vanilla/6/10/oz,FBA,3.25,0.0,0.3,7.46,-11.51,0.0,-306.9,0,0,False,skip
714367351223,B076PTLNR2,White Swan/Scented Candle/Angel Orchids/6/10/oz,FBA,3.25,0.0,0.3,7.63,-11.68,0.0,-311.5,0,0,False,skip
714367352077,B07Q3SK5C6,White Swan/Scented Candle/Lavender Bergamot/6/10/oz,FBA,3.25,0.0,0.3,7.63,-11.68,0.0,-311.5,0,8776710,False,skip
714367351544,B0791K8XWM,White Swan/Scented Candle/Fresh Mist/6/10/oz,FBA,3.25,0.0,0.3,7.9,-11.95,0.0,-318.7,0,0,False,skip
600686921042,B07CHTXX71,"Dine Away/Premium Plastic Plates/9""/4/100/ct",FBA,7.88,0.0,0.3,6.48,-15.16,0.0,-180.9,0,1045941,False,skip
041165022209,B005VHDTQO,Solo/Plastic Plates/Squared 10in/16/15/ct,FBA,3.135,0.0,0.3,12.0,-15.94,0.0,-438.4,0,0,False,skip
012587783665,B00IA6IJF4,Glad/Drawstring/Tall Kitchen White Lemon Odor Shield 13gl/6/40/ct,FBA,9.7483,0.0,0.3,5.76,-16.31,0.0,-159.1,0,646766,False,skip
012587224359,B0CD1YV18C,Glad/Quick Tie/Tall Kitchen 13 gl/4/68/ct,FBA,10.0475,0.0,0.3,6.13,-16.98,0.0,-161.0,0,374662,False,skip
714367350509,B07G3JZ8TC,Trash Away/Fast Tie/Trash 30gl Black/4/50/ct,FBA,8.93,0.0,0.3,7.55,-17.28,0.0,-183.2,0,919804,False,skip
714367350561,B07G3J9M5W,Trash Away/Drawstring/Tall Kitchen 13gl White/4/75/ct,FBA,8.93,0.0,0.3,7.63,-17.36,0.0,-184.1,0,919804,False,skip
714367350622,B07G3K4PW7,Trash Away/Drawstring/Trash 30gl Black/4/45/ct,FBA,8.93,0.0,0.3,7.71,-17.44,0.0,-184.9,0,919804,False,skip
