UPC,ASIN,Description,Channel,Cost,Sell Price,Referral Fee,Fulfillment Fee,Profit/Unit,Margin %,ROI %,Units/mo,BSR,Amazon Buy Box,Verdict
039800011367,B01IAI2V3W,ENERGIZER MAX C 2PK BATTERIES,FBM,2.5,63.11,9.47,7.0,44.14,69.9,1765.7,0,0,False,marginal
8001090965431,B07NJXZ769,OLD SPICE 250ML 3n1 CAPTAIN,FBM,2.25,47.98,7.2,9.5,29.03,60.5,1290.4,0,564510,False,marginal
062338779614,B008Y3WTJA,AIRWICK 180G FMTC RFL LVNDR CHMMLE,FBM,2.5,39.43,5.91,9.5,21.52,54.6,860.6,0,336462,False,marginal
5029053550152,B01MYZR4AJ,HUGGIES 56CT REFILL WIPES ALOE,FBM,1.2,29.15,4.37,5.0,18.58,63.7,1548.1,0,0,False,marginal
8886467061745,B075Z8P4TD,DOVE BABY 50ct WIPES SENSITIVE,FBM,1.65,32.64,4.9,9.5,16.59,50.8,1005.7,0,26587,False,marginal
019200793261,B01IAIMTAM,LYSOL 19oz DISFCT SPRY SPRNG WTRFLL,FBM,5.25,43.8,6.57,15.5,16.48,37.6,313.9,0,667050,False,marginal
062338780481,B01IAFJ91M,AIRWICK 2CT PLUG IN F/SCENTED OIL,FBM,2.25,29.17,4.38,7.0,15.54,53.3,690.9,0,0,False,marginal
8720181471636,B0DKF9PYWW,DOVE 720ML BW FRESH CARE,FBM,3.75,27.9,4.18,7.0,12.96,46.5,345.7,0,1205957,False,marginal
037000123538,B01LMN4YB4,OLD SPICE 18z 3n1 SH/BW/CD HE CNDTN,FBM,4.4,30.62,4.59,9.5,12.13,39.6,275.6,0,590428,False,marginal
030772176924,B0FPHKTM74,NATIVE 18z BW VANILLA SANDALWOOD,FBM,5.25,25.99,3.9,5.0,11.84,45.6,225.6,0,0,False,marginal
037000663959,B08RTSYX9K,OLD SPICE 16z BW NIGHTPANTER,FBM,4.25,25.9,3.88,7.0,10.77,41.6,253.3,0,352250,False,marginal
