UPC,ASIN,Description,Channel,Cost,Sell Price,Referral Fee,Fulfillment Fee,Profit/Unit,Margin %,ROI %,Units/mo,BSR,Amazon Buy Box,Verdict
019200893336,B00KO8B2ZA,MOP & GLO 32z FLOOR CLNR MLTI SRFCE,FBA,5.0,178.38,26.76,26.95,119.17,66.8,2166.8,0,213732,False,marginal
019200817004,B00BX9MFIC,LYSOL 75CT WIPES DUAL ACTION CITRUS,FBA,4.5,133.17,19.98,21.49,86.7,65.1,1734.1,0,1183055,False,marginal
811435007775,B0GDNSMXKM,SPIC & SPAN 32z MLTI PRPS CLNR CTRS,FBA,2.1,50.08,7.51,6.58,33.39,66.7,1284.2,0,0,False,marginal
062338002309,B00CYNKAHY,SPRAY N WASH 22z LAUNDRY STN RMVR,FBA,2.65,48.91,7.34,5.76,32.66,66.8,1036.9,0,773369,False,marginal
051700983056,B07G3CFLCV,FINISH 12CT QUANTUM PWRBLL DISH TAB,FBA,2.5,45.0,6.75,4.09,31.16,69.2,1038.7,0,930865,False,marginal
012044000250,B01IA9AAD4,OLD SPICE 3z PURE SPORT H/E A/P DEO,FBA,3.25,48.12,7.22,7.57,29.58,61.5,788.9,0,634603,False,marginal
035000446763,B07G7F7TQQ,AJAX 28oz DISH LIQ LIME,FBA,1.96,57.73,8.66,17.75,28.86,50.0,1173.2,0,0,False,marginal
079400017437,B01IADVK8O,DEGREE 72H 2.6z ADV WMN SEXY INTRGE,FBA,3.0,46.53,6.98,7.3,28.75,61.8,821.4,0,619339,False,marginal
019200780339,B0044UQYRU,RESOLVE 22z TRGR CRPT STAIN PET,FBA,4.5,49.35,7.4,9.53,27.42,55.6,548.4,0,393956,False,marginal
022200000307,B01IA967KE,LSS 2.3z GEL POWER FUSION A/P DEO,FBA,2.25,37.54,5.63,3.5,25.66,68.4,933.1,0,823001,False,marginal
079400061478,B0167K0QXM,Degree MEN 72HR ADV 2.7z ADVNTR AP,FBA,3.0,41.03,6.15,5.76,25.62,62.4,731.9,0,351343,False,marginal
037000255741,B00BGOMN1S,IVORY 24z DISH LIQ CLASSIC SCNT,FBA,2.9,52.44,7.87,16.18,24.99,47.7,735.1,0,411508,False,marginal
037000123453,B08531P1X9,SECRET 2.6z I/S SHWR FRSH A/P,FBA,3.5,39.17,5.88,5.76,23.53,60.1,588.4,0,872613,False,marginal
035000446749,B01FNEQCVS,AJAX 28oz DISH LIQ GRAPEFRUIT,FBA,1.96,47.4,7.11,16.57,21.26,44.9,864.2,0,754446,False,marginal
022200960526,B01IAAXMSI,LSS 2.3oz WILD FREESIA I/S DRY A/P,FBA,1.8,34.47,5.17,6.31,20.69,60.0,899.5,0,0,False,marginal
022200004923,B00NWUE3OE,MSS 3oz POWER ULT SPORT A/P DEO,FBA,1.8,35.0,5.25,7.46,19.99,57.1,869.1,0,657231,False,marginal
5000204689204,B07CN9T6QH,PLEDGE 250ml MLTI SRFCE CLASSIC,FBA,2.4,31.0,4.65,3.5,19.95,64.4,687.9,0,408633,False,marginal
022200954402,B01DLK60MW,LSS 2.3z POWDER FRESH I/S A/P DEO,FBA,1.8,33.29,4.99,6.48,19.52,58.6,848.5,0,319936,False,marginal
070481011024,B081J3FSZ4,MURPHY OIL SOAP 32oz ORIGINAL,FBA,2.65,38.11,5.72,10.69,18.55,48.7,589.0,0,1292850,False,marginal
012044015728,B01DXG6SE4,OLD SPICE 3.8z DEO GEL A/P SWAGGER,FBA,6.0,35.99,5.4,5.76,18.33,50.9,282.0,0,85597,False,marginal
070881331289,B07877D8RH,BRILLO PARSON 28z AMMONIA LEMON,FBA,1.75,45.74,6.86,18.44,18.19,39.8,808.4,0,284034,False,marginal
827854011941,B0CTJ14HMY,SOFTSOAP 20z BW HAWAIIN LUAU,FBA,3.0,34.58,5.19,8.29,17.6,50.9,502.9,0,195278,False,marginal
