UPC,ASIN,Sell,Cost,Fees,Profit,Margin%,ROI%,BSR,AmzBB,Verdict
019200893336,B00KO8B2ZA,180.18,5.00,53.98,120.70,67.0,2194.6,81133,False,marginal
012044015728,B01IAFD8TG,95.79,6.00,17.87,71.42,74.6,1098.8,1587743,False,marginal
019200817004,B00BX9MFIC,110.99,4.50,38.14,67.85,61.1,1357.0,966530,False,marginal
4005900513045,B00XA7LBBC,67.29,2.25,15.12,49.42,73.4,1797.0,0,False,marginal
811435007775,B0GDNSMXKM,50.08,1.88,14.09,33.61,67.1,1412.1,931509,False,marginal
051700983056,B07G3CFLCV,47.86,2.50,11.27,33.59,70.2,1119.7,931132,False,marginal
035000446763,B07G7F7TQQ,56.58,1.96,26.24,27.88,49.3,1133.5,0,False,marginal
079400061478,B0167K0QXM,41.05,3.00,11.92,25.63,62.4,732.4,551591,False,marginal
037000255741,B00BGOMN1S,52.44,2.90,24.05,24.99,47.7,735.1,251188,False,marginal
022200000307,B01IA967KE,36.00,2.25,8.90,24.35,67.6,885.5,715474,False,marginal
037000123453,B08531P1X9,37.70,3.50,11.42,22.29,59.1,557.1,1384301,False,marginal
035000446749,B01FNEQCVS,47.90,1.96,23.75,21.68,45.3,881.5,643582,False,marginal
022200004923,B00NWUE3OE,35.00,1.80,12.71,19.99,57.1,869.1,289626,False,marginal
5000204689204,B07CN9T6QH,31.00,2.40,8.15,19.95,64.4,687.9,898739,False,marginal
019200780339,B0044UQYRU,40.63,4.50,15.89,19.74,48.6,394.7,369632,False,marginal
012044389706,B01IAE0CO6,34.10,3.00,11.22,19.38,56.8,553.9,989915,False,marginal
070481011024,B081J3FSZ4,38.11,2.65,16.41,18.55,48.7,589.0,1270882,False,marginal
022200950367,B01IA9F8QS,30.13,1.80,10.83,17.00,56.4,739.2,548319,False,marginal
079400587084,B01ENWLDH4,29.88,3.00,10.24,16.14,54.0,461.1,90195,False,marginal
079400352972,B00TJ6P1SC,29.99,3.50,10.26,15.73,52.5,393.3,15832,False,marginal
037000903918,B01KYYUXSK,33.45,2.88,15.21,14.86,44.4,439.7,148192,False,marginal
024200053680,B0CVM2RMT1,39.85,11.00,13.75,14.60,36.6,127.0,57192,False,marginal
037000823322,B07GDVHT59,23.99,2.00,7.69,13.80,57.5,552.1,788088,False,marginal
8999999594398,B0D216FD6T,22.16,1.20,7.18,13.28,59.9,780.9,98413,False,marginal
022200940214,B01IA96XYY,24.23,1.25,9.76,12.72,52.5,726.6,1047541,False,marginal
037000976189,B082VFDN6X,27.99,2.25,12.57,12.67,45.3,460.8,178555,False,marginal
012044000250,B01IA99PWG,25.75,3.25,9.62,12.38,48.1,330.1,475843,False,marginal
079400351203,B07L9GMX66,23.21,3.50,8.70,10.51,45.3,262.7,262050,False,marginal
035000498632,B01FLNVMA2,37.24,3.25,23.34,10.15,27.3,270.8,0,False,marginal
062338030227,B09Y6612FZ,34.99,11.00,13.71,9.78,28.0,85.1,67650,False,buy
059200007234,B0753G5V8K,24.72,4.40,10.50,9.32,37.7,190.2,111159,False,marginal
5000204689297,B07CNNR3C9,20.95,2.40,8.75,9.30,44.4,320.6,339033,False,marginal
