UPC,ASIN,Description,Channel,Cost,Sell Price,Referral Fee,Fulfillment Fee,Profit/Unit,Margin %,ROI %,Units/mo,BSR,Amazon Buy Box,Verdict
062338851754,B01IAIR2AE,Air Wick/Scented Oil Twin Refill/Hawaii Exotic Papaya & Hibiscus Flower 2pk/6/1.34/oz,FBM,3.7867,63.56,9.53,9.5,40.74,64.1,1075.9,0,1194778,False,marginal
019200808347,B006RGHKPE,Lysol/Spray Disinfectant/Early Morning Breeze /12/19/oz,FBM,5.365,40.99,6.15,9.5,19.98,48.7,372.3,0,671855,False,marginal
046500775147,B0C4W44XZQ,Glade/Scented Oil Starter Kit/1 Warmer + 1 Refill Clean Linen/5/.67/oz,FBM,3.152,25.69,3.85,5.0,13.68,53.3,434.2,0,0,False,marginal
037000933311,B08DT3RCHV,Febreze/Small Spaces/Gain Original Scent/6/1/ct,FBM,2.7833,24.99,3.75,5.0,13.46,53.9,483.5,0,1970,False,marginal
062338034638,B0CRJVXCQH,Air Wick/Scented Oil Twin Refill/Vibrant Lush Forest & Mountain Air 2pk/6/1.34/oz,FBM,3.7867,20.95,3.14,5.0,9.02,43.1,238.2,0,829722,False,marginal
062338780467,B0092CS7P2,Air Wick/Scented Oil/Gadget/6/1/ct,FBM,1.3583,17.79,2.67,5.0,8.76,49.3,645.2,0,0,False,marginal
062338779652,B000KIA23M,Air Wick/Freshmatic Ultra Refill/Sparkling Citrus/6/6.34/oz,FBM,2.5,16.27,2.44,5.0,6.33,38.9,253.2,0,8057382,False,marginal
019200741866,B0BMVKDS1D,Lysol/Spray Disinfectant/Crisp Linen/12/12.5/oz,FBM,3.49,21.75,3.26,9.5,5.5,25.3,157.5,0,111350,False,marginal
019200793292,B006RGHKAY,Lysol/Spray Disinfectant/Crisp Linen i/12/19/oz,FBM,5.365,23.86,3.58,9.5,5.42,22.7,101.0,0,771370,False,marginal
070881431774,B0GWRWXLPM,Renuzit/Solid/Vanilla Apricot Blossom & Almond/12/7/oz,FBM,1.3675,13.35,2.0,5.0,4.98,37.3,364.2,0,0,True,skip
062338020938,B0BCN41464,Air Wick/Scented Oil/Fresh Linen/16/1/ct,FBM,0.7888,14.9,2.23,7.0,4.88,32.7,618.2,0,588534,False,marginal
030772211212,B0FN4RDXXL,Febreze/Scented Oil Starter Kit/Machine + Refill Lilac Sunrise/4/.87/oz,FBM,5.4575,18.04,2.71,5.0,4.88,27.0,89.4,0,1006835,False,marginal
062338816814,B07R8JPPWM,Air Wick/Essential Mist/Starter Kit 1 Diffuser + 1 Refill Apple Cinnamon Medley/4/.67/oz,FBM,6.3125,18.99,2.85,5.0,4.83,25.4,76.5,0,183018,False,marginal
037000463009,B003YZAHCE,Febreze/Scented Oil/Morning Dew 2pk/6/1.75/oz,FBM,6.3117,16.99,2.55,5.0,3.13,18.4,49.6,0,218,False,marginal
019200793261,B00GQS31I8,Lysol/Spray Disinfectant/Spring Water Fall/12/19/oz,FBM,5.365,18.0,2.7,7.0,2.94,16.3,54.7,0,976354,False,marginal
046500730993,B012L6UI3O,Glade/Scented Oil Starter Kit/1 Warmer + 1 Refill Hawaiian Breeze/5/.67/oz,FBM,3.152,15.0,2.25,7.0,2.6,17.3,82.4,0,0,False,marginal
019200878708,B00B7130DK,Lysol/Spray Disinfectant/Lemon Breeze/6/19/oz,FBM,4.79,16.17,2.43,7.0,1.95,12.1,40.8,100,72476,False,marginal
030772089385,B0D81G197Z,Febreze/Fabric Refresher/Gain Original/8/14.8/oz,FBM,3.5213,14.5,2.17,7.0,1.8,12.4,51.2,0,460611,False,marginal
037000901204,B00J36F5MK,Febreze/Scented Oil Starter Kit/Machine + Refill Gain Original/4/.87/oz,FBM,5.4575,13.99,2.1,5.0,1.43,10.3,26.3,100,300,False,marginal
037000640806,B09CQDKK4L,Febreze/Scented Oil Starter Kit/Warmer + Refill Light Bamboo/4/.87/oz,FBM,5.4575,13.2,1.98,5.0,0.76,5.8,14.0,100,16854,False,marginal
062338989785,B0BML5PV3Y,Air Wick/Freshmatic Ultra/Starter Kit Ocean Breeze/4/1/ct,FBM,7.5,17.93,2.69,7.0,0.74,4.1,9.9,0,253806,False,marginal
030772088661,B0D82J68XN,Febreze/Fabric Refresher/Pet Odor Fight/8/14.8/oz,FBM,3.5213,12.75,1.91,7.0,0.32,2.5,9.0,100,292145,False,marginal
037000901211,B00NFF1056,Febreze/Scented Oil Starter Kit/Machine + Refill Linen & Sky/4/.87/oz,FBM,5.4575,12.32,1.85,5.0,0.01,0.1,0.3,0,218,False,marginal
037000508762,B084WQHVQY,Febreze/Scented Oil Starter Kit/Warmer + Refill Ocean/4/.87/oz,FBM,5.4575,11.9,1.78,5.0,-0.34,-2.9,-6.3,0,647058,False,skip
062338491127,B08XXLFB1Z,Air Wick/Scented Oil/Starter Kit 1 Oil 1 Vanilla & Pink Papaya/4/1/ct,FBM,3.135,8.84,1.33,5.0,-0.62,-7.0,-19.8,0,0,False,skip
070881431330,B0F8JJLKT3,Renuzit/Solid/Lavender/12/7/oz,FBM,1.3675,6.5,0.97,5.0,-0.84,-13.0,-61.6,100,69588,True,skip
070881431118,B0DS2JSKFP,Renuzit/Solid/Raspberry/12/7/oz,FBM,1.3675,5.99,0.9,5.0,-1.28,-21.3,-93.3,50,182864,False,skip
062338020976,B0BCMB8K7R,Air Wick/Scented Oil/Vanilla & Pink Papaya/16/1/ct,FBM,0.7888,4.75,0.71,5.0,-1.75,-36.9,-222.0,50,15400,True,skip
062338032962,B0BC2LMTN9,Air Wick/Freshmatic Ultra/Strater Kit Fresh New Day Pet Fresh Cotton/4/1/ct,FBM,7.5,14.97,2.25,7.0,-1.78,-11.9,-23.7,1000,26042,True,skip
046500017926,B0B1JNY4Z5,Glade/Scented Oil Starter Kit/1 Warmer + 1 Refill Tropical Blossom/5/.67/oz,FBM,3.152,6.77,1.02,5.0,-2.4,-35.4,-76.1,0,29856,True,skip
070881431224,B0DS2GC3FP,Renuzit/Solid/Apple & Cinnamon/12/7/oz,FBM,1.3675,4.49,0.67,5.0,-2.55,-56.8,-186.5,200,70092,False,skip
037000933366,B07SW72THD,Febreze/Small Spaces/Linen & Sky/6/1/ct,FBM,2.7833,5.94,0.89,5.0,-2.73,-46.0,-98.2,6000,302,True,skip
037000769859,B07H3JWQR3,Febreze/Scented Oil Warmer Device//4/1/ct,FBM,3.0475,5.47,0.82,5.0,-3.4,-62.1,-111.5,100,218,False,skip
062338822914,B007W9CO0G,Air Wick/Scented Oil Twin Refill/Cool Linen 2pk/6/1.34/oz,FBM,3.7867,5.98,0.9,5.0,-3.7,-61.9,-97.8,1000,1739,True,skip
030772146354,B0F3DYXMF9,Febreze/PLUG Scent Booster Starter Kit/Refresh & Energize 1 Warmer + 1 Refill/2/1/ct,FBM,10.5,12.94,1.94,5.0,-4.5,-34.8,-42.9,1000,39561,False,skip
197981004742,B0FR9MRJCP,Glade/Aerosol/Clean Linen/6/7.3/oz,FBM,1.21,1.49,0.3,5.0,-5.02,-336.9,-414.9,500,99311,False,skip
070881431002,B010OVNCZE,Renuzit/Solid/After The Rain/12/7/oz,FBM,1.3675,1.24,0.3,5.0,-5.43,-437.7,-396.9,400,18107,True,skip
