UPC,ASIN,Sell,Cost,Fees,Profit,Margin%,ROI%,BSR,AmzBB,Verdict
037000481843,B007579ZWA,45.37,5.25,15.35,24.27,53.5,422.2,1627994,False,marginal
037000695394,B08PCRQB5F,41.88,6.75,12.59,22.04,52.6,304.0,5117,True,skip
827854011941,B0CTJ14HMY,37.95,3.00,13.98,20.47,53.9,584.8,234285,False,marginal
030772085066,B0C6V2RM3B,35.00,6.00,11.01,17.49,50.0,269.1,0,False,marginal
8901030912658,B0BZ1VQXGK,35.99,4.85,13.94,16.70,46.4,312.2,33677,False,buy
8720181471636,B0DKF9PYWW,30.94,3.75,10.66,16.03,51.8,377.2,0,False,marginal
062338780481,B01IAFJ91M,28.30,2.25,9.75,15.80,55.8,574.7,0,False,marginal
019200741866,B0BMVKDS1D,28.11,3.60,11.99,12.02,42.8,293.3,252318,False,marginal
030772176924,B0FPHKTM74,24.00,5.25,7.10,11.15,46.5,193.9,0,False,marginal
030772060124,B0DH38RGLN,27.65,7.00,10.17,9.98,36.1,133.1,4186,False,buy
037000064879,B0167JX3Z6,25.82,4.40,11.42,9.50,36.8,193.8,146481,False,marginal
037000167709,B001FB5LW0,25.19,4.25,11.24,9.20,36.5,193.7,14327,False,marginal
072140810849,B00JF2H8BI,21.92,3.75,9.42,8.25,37.6,194.2,1378831,False,marginal
062338779652,B000KIA23M,19.00,2.50,8.01,7.99,42.1,266.3,1648166,False,marginal
3614223413973,B07B3T1KFT,18.33,2.40,7.51,7.92,43.2,273.1,689317,False,marginal
030772164426,B0FF49D273,19.26,4.40,6.75,7.61,39.5,155.3,141673,False,marginal
062338804200,B06X6M7GKQ,19.47,3.75,7.68,7.54,38.7,177.4,894710,False,marginal
037000663959,B08RTSYX9K,19.99,4.25,8.22,7.02,35.1,147.8,378964,False,marginal
8720181471582,B0DKF8SSD1,19.85,3.75,8.74,6.86,34.6,161.5,0,False,marginal
019200793292,B006RGHKAY,23.85,5.25,11.93,6.17,25.9,107.3,712610,False,marginal
039800108050,B00VB4GER2,14.98,3.00,5.40,6.08,40.6,173.8,0,False,marginal
062338020938,B0BCN41464,14.90,0.75,7.84,5.81,39.0,464.4,542455,False,marginal
3616303458973,B0BDG22SG5,15.67,2.40,7.11,5.66,36.1,195.2,107986,False,marginal
046500037054,B0B3ZJY6ZQ,19.69,5.00,8.56,5.63,28.6,102.3,106725,False,marginal
030772180815,B0DYWBPBKH,19.90,5.75,8.59,5.05,25.4,80.9,189919,False,marginal
030772071946,B0C9YSKDGX,15.35,3.60,6.65,4.60,30.0,112.1,786,False,marginal
030772158241,B0GJFJVLXR,21.08,6.88,9.47,4.23,20.1,57.3,65454,False,marginal
3574669909945,B09846PD5N,15.48,3.25,7.54,4.19,27.1,111.7,27834,False,marginal
4005900690500,B08535CXMP,13.99,2.50,6.86,4.13,29.5,137.7,383759,False,marginal
8901030866746,B0BHTS4Z6T,11.98,1.25,6.15,4.08,34.1,233.3,57067,False,buy
062338939476,B07G7B1YF1,13.60,3.00,6.13,3.97,29.2,113.4,0,False,marginal
030772180754,B0DVLVYRSS,17.99,5.25,8.31,3.93,21.9,68.4,244594,False,marginal
8710908657979,B07V6N5R1J,14.90,3.50,6.99,3.91,26.2,97.6,12715,False,buy
062338858258,B000BO9KYW,9.14,0.95,4.38,3.31,36.2,228.2,5295,False,marginal
037000695424,B019FGCM00,16.94,6.75,6.63,3.06,18.1,42.2,38349,False,buy
3574669907903,B07YCF21Y2,13.79,3.00,7.29,3.00,21.8,85.8,4940,False,buy
030772031841,B0BHL9CLNT,14.40,4.40,6.51,2.99,20.8,61.0,212,False,buy
019200878708,B07MVKVSNQ,19.25,5.25,10.52,2.98,15.5,51.9,70633,False,buy
037000393160,B00MY214P2,15.28,4.40,7.51,2.87,18.8,58.5,384793,False,marginal
037000675105,B0FD8KVC31,13.25,4.40,5.49,2.86,21.6,58.4,573666,False,marginal
062338965338,B07ZQL7PQL,11.79,2.50,6.12,2.67,22.7,89.0,40983,False,buy
037000319726,B00TSPOA4K,9.49,1.40,4.92,2.67,28.1,140.3,24921,False,buy
062338858265,B00GRTFNQO,8.60,0.95,4.49,2.66,30.9,183.4,5295,False,marginal
019200793261,B01IAIMTAM,20.00,5.25,11.77,2.48,12.4,43.1,777763,False,marginal
5029053550152,B01MYZR4AJ,9.99,1.20,5.85,2.44,24.4,143.6,0,False,marginal
030772107348,B0F68QPQ73,13.15,3.50,6.73,2.42,18.4,60.4,1386430,False,marginal
5060120164919,B00OZMD4UC,9.99,1.75,5.41,2.33,23.3,103.6,234920,False,marginal
062338086941,B0F5T5SLPC,15.93,6.00,7.15,2.28,14.3,35.1,57114,False,marginal
037000662242,B08RHC1TM5,14.45,4.40,7.33,2.22,15.4,45.4,55290,False,buy
037000974949,B00EWO10S6,19.99,8.00,9.31,2.18,10.9,25.7,440,False,marginal
3574661384627,B07HRNRHPT,9.98,1.95,5.41,2.12,21.3,86.7,147267,False,marginal
030772088661,B0D82J68XN,12.50,2.88,7.10,2.03,16.2,59.9,574552,False,marginal
4005808795697,B00F0MRKLK,8.99,1.65,4.85,1.99,22.2,92.6,246729,False,marginal
030772118405,B0FF49P8TK,11.15,3.60,5.17,1.88,16.8,45.8,0,False,marginal
037000974642,B01MT1BT0V,15.90,5.50,8.14,1.76,11.0,29.3,579288,False,marginal
046500053283,B0D9HLKVJ5,12.97,3.60,7.17,1.70,13.1,41.6,1082636,False,marginal
062338858234,B00K1FLEGS,6.99,0.95,4.06,1.48,21.2,102.2,417653,False,marginal
039800109941,B005GIQXCU,16.09,6.50,7.63,1.46,9.1,20.8,775,True,skip
030772109144,B0F6DFLTW5,13.46,3.50,8.33,1.13,8.4,28.3,1105402,False,marginal
062338784731,B00DSXECQ4,9.91,3.75,4.73,0.93,9.4,22.0,1371986,False,marginal
037000733621,B077Y965Y6,12.79,4.25,7.14,0.90,7.0,19.0,135271,False,marginal
030772089385,B0D81G197Z,10.99,2.88,6.87,0.74,6.7,21.9,774768,False,marginal
062338779614,B07DFZKFT8,10.32,2.50,6.71,0.61,5.9,20.4,864935,False,marginal
030772010365,B09ZD8NBJ1,11.26,3.60,6.62,0.54,4.8,13.2,786,False,marginal
037000228493,B0049EAYCW,13.20,4.50,7.74,0.46,3.5,9.2,315368,False,marginal
035000996749,B09GN12TT3,11.23,3.00,7.29,0.44,3.9,12.4,70071,False,marginal
062338780467,B01B12E7Y0,6.60,1.50,4.23,0.37,5.6,18.5,15462,False,marginal
815195014653,B0C9NP9BRS,9.99,2.40,6.78,0.31,3.1,10.7,52845,False,marginal
815195014660,B0C9NZHN75,9.98,2.40,6.78,0.30,3.0,10.4,68451,False,marginal
039800900586,B00BWAYA6C,9.99,4.25,5.00,0.24,2.4,5.1,775,False,marginal
074182473396,B082YVBW58,9.99,3.00,6.26,0.23,2.3,6.6,123761,False,marginal
4005808130115,B0017IMON0,6.85,1.65,4.53,0.17,2.5,8.0,76079,False,marginal
037000777137,B0FSNH9DPV,6.99,1.80,4.55,0.14,2.0,6.2,0,False,marginal
046500029547,B09BK6VZ95,13.34,5.00,7.76,0.08,0.6,1.4,784637,False,marginal
037000933304,B09Q2C49X1,10.95,4.40,5.99,0.06,0.5,1.2,434477,False,marginal
062338021140,B08XXJC4PV,12.99,5.75,6.71,0.03,0.2,0.5,60455,False,marginal
046500055614,B0DQB1X5XV,12.95,4.80,7.70,-0.05,-0.4,-1.0,256190,False,skip
019200808347,B00131WPIU,12.95,5.25,7.32,-0.12,-0.9,-2.1,11156,False,skip
035000994745,B09NB2MNV5,9.57,3.00,6.20,-0.13,-1.3,-3.6,21789,False,skip
062338020976,B0BCMB8K7R,4.56,0.75,3.69,-0.38,-8.4,-30.7,14808,True,skip
039800011329,B00451SSBI,4.97,1.65,3.33,-0.51,-10.2,-23.5,775,True,skip
035000996626,B09NB1TWXG,9.00,3.00,6.11,-0.61,-6.8,-17.4,79251,False,skip
037000972860,B06WVKJ8RZ,9.79,4.25,5.84,-0.80,-8.2,-16.8,59680,False,skip
062338937939,B06XWWD3RK,14.55,8.00,6.94,-0.89,-6.1,-10.5,115632,False,skip
062338989785,B0BML5PV3Y,14.98,7.50,8.09,-1.11,-7.4,-13.8,144669,False,skip
011111022676,B08T4MNVCR,9.98,5.25,5.41,-1.18,-11.8,-20.5,52256,False,skip
062338985664,B075MNF2Z7,17.98,9.75,9.09,-1.36,-7.5,-13.2,36478,True,skip
046500053351,B0D9HMWFBP,6.99,3.75,4.29,-1.55,-22.2,-36.4,63882,False,skip
046500049316,B0CPQNPNVM,6.93,3.75,4.28,-1.60,-23.1,-37.6,29969,True,skip
030772010358,B0BJYBGZF3,6.44,3.60,3.98,-1.64,-25.4,-39.9,786,True,skip
046500055638,B0DQB2GH3X,9.99,4.80,6.42,-1.73,-17.3,-32.6,256190,False,skip
037000866800,B0167JXNTC,17.56,4.25,14.63,-1.82,-10.4,-38.4,0,False,skip
035000993618,B09GN14JR8,6.29,3.00,5.70,-2.91,-46.3,-83.2,34367,False,skip
030772225752,B0F8JLT17R,10.99,6.00,7.41,-2.92,-26.6,-44.9,2017,False,skip
062338937908,B00YR9JWAY,12.69,8.00,7.27,-3.08,-24.3,-36.3,654,True,skip
037000933069,B07SV46TSW,5.94,4.40,4.39,-3.35,-56.4,-68.4,210,True,skip
037000933267,B07SW72THD,5.94,4.40,4.39,-3.35,-56.4,-68.4,212,True,skip
030772088586,B0CS7QDW3N,4.98,2.88,5.12,-3.52,-70.6,-104.1,261127,False,skip
030772088586,B0CS7QDW3N,4.98,2.88,5.12,-3.52,-70.6,-104.1,261127,False,skip
035000996756,B09GMZS7NS,5.99,3.00,6.51,-4.02,-67.1,-114.8,173101,False,skip
030772127162,B0CR6VSR2M,8.65,5.25,6.93,-4.03,-46.6,-70.0,109,True,skip
074182473389,B09GMZR73M,4.97,3.00,5.51,-4.04,-81.2,-115.3,66627,False,skip
037000755364,B07KGL6L56,2.69,2.00,4.31,-4.12,-153.3,-164.9,39,True,skip
030772205532,B0FXH4RM6K,9.97,6.90,6.78,-4.21,-42.2,-56.8,104,True,skip
