UPC,ASIN,Description,Channel,Cost,Sell Price,Referral Fee,Fulfillment Fee,Profit/Unit,Margin %,ROI %,Units/mo,BSR,Amazon Buy Box,Verdict
607869313304,B0D1122SVB,CONTIGO 32z ASHLAND BLUE BOTTLE,FBM,6.0,73.86,11.08,5.0,51.78,70.1,863.0,50,2998,True,skip
305212335002,B01IAI4ZFE,VASELINE VPJ 13oz NURSERY,FBM,4.25,74.99,11.25,15.5,43.99,58.7,1035.1,0,121394,False,marginal
305212345001,B01IA9DW7U,VASELINE JAR VPJ REG 13 OZ,FBM,4.25,71.56,10.73,15.5,41.08,57.4,966.5,0,220024,False,marginal
8886467039997,B00OQQUN1A,VIC 6.8z BODY OIL GEL COCOA RADIANT,FBM,5.75,47.82,7.17,5.0,29.9,62.5,519.9,100,121391,True,skip
037000953340,B085VRCFPY,ALWAYS 15CT FLXFM #1 REG LIGHT CLN,FBM,4.25,47.86,7.18,7.0,29.43,61.5,692.5,0,960528,False,marginal
352688195739,B01IADYQNA,LEMISOL PLUS 16z ORIGINAL,FBM,5.96,54.53,8.18,15.5,24.89,45.6,417.6,0,821647,False,marginal
060258364569,B0CK61GK7Q,BRITA DISP 6CUP PTCHR+FLTR LNG LSTG,FBM,18.5,58.81,8.82,7.0,24.49,41.6,132.4,0,2344293,False,marginal
035000393753,B017II5CPY,SUAVITEL 70CT MRNG SUN DRYER SHTS,FBM,2.65,37.0,5.55,5.0,23.8,64.3,898.1,200,503889,False,marginal
025700243076,B002YX0PO2,ZIPLOC 30CT XL SANDWICH BAGS,FBM,2.5,36.46,5.47,9.5,18.99,52.1,759.6,0,965231,False,marginal
309978695325,B00A5ZK7IU,COLORSILK 3RB MAHOGANY BROWN,FBM,2.15,41.16,6.17,15.5,17.34,42.1,806.3,0,142901,False,marginal
607869286363,B092MYPLYX,CONTIGO 24z ASHLAND GRAY BOTTLE,FBM,5.5,31.29,4.69,5.0,16.1,51.4,292.7,0,429097,False,marginal
309978695318,B07H9X4JVJ,COLORSILK 3R DARK AUBURN,FBM,2.15,29.63,4.44,7.0,16.04,54.1,745.8,0,816946,False,marginal
8904256008198,B07VKM2HR5,NIVEA 600ML BDY LTN BODY MILK W/PMP,FBM,4.5,31.41,4.71,7.0,15.2,48.4,337.7,0,367573,False,marginal
012587792506,B0BMW7ZRDZ,GLAD 8CT QURT FLX & SEAL STORAGE BG,FBM,0.55,23.12,3.47,5.0,14.1,61.0,2564.0,0,1006062,False,marginal
061328801366,B011I8JV1Q,SCOTTIES 6PK TISSUE 126 SHEET 2-PLY,FBM,7.2,31.95,4.79,7.0,12.96,40.6,180.0,50,148109,False,buy
309978695349,B00M77V9TA,COLORSILK 3DB DEEP BURGUNDY,FBM,2.15,26.0,3.9,7.0,12.95,49.8,602.3,0,8013,False,marginal
309978695455,B01MG09QER,COLORSILK 4BR BRIGHT AUBURN,FBM,2.15,24.99,3.75,7.0,12.09,48.4,562.4,0,531416,False,marginal
085805554927,B082PJMF7H,REVLON 8z ELZBTH ARDEN GRN TEA MIST,FBM,5.25,25.99,3.9,5.0,11.84,45.6,225.6,0,1165543,False,marginal
087300560090,B06Y1QN6N5,NOXZEMA 2z ORG CLASSIC CLNSG CREAM,FBM,1.5,23.46,3.52,7.0,11.44,48.8,762.7,0,6082,False,marginal
030772241882,B0G4L1CGYM,NATIVE 12z DETOX BDY SCRB GUMDROP,FBM,5.0,24.99,3.75,5.0,11.24,45.0,224.8,0,455348,False,marginal
8710447172087,B07CZMGCYM,SIMPLE 25CT CLNSNG WIPE WATER BOOST,FBM,2.4,23.98,3.6,7.0,10.98,45.8,457.6,100,96771,False,buy
030772087800,B0CXMQ1DS4,DOWNY 5z SCNT BOOSTR LGHT OCEAN MST,FBM,3.6,22.99,3.45,5.0,10.94,47.6,303.9,0,966212,False,marginal
080196302829,B00KX97H7M,CURAD 80CT PLASTIC NON-STICK BNDGES,FBM,1.65,20.11,3.02,5.0,10.44,51.9,632.9,0,70660,False,marginal
812154035384,B0B2BNBDHD,NATIVE 1.7z FACIAL VIT C SPF30 BRTN,FBM,7.5,25.79,3.87,5.0,9.42,36.5,125.6,0,78820,False,marginal
074182260125,B001GXFPO6,SOFTSOAP 7.5oz SOOTHNG CLN ALOE VRA,FBM,1.25,30.29,4.54,15.5,9.0,29.7,719.7,0,1140474,False,marginal
073010380103,B003CP13Q0,TAMPAX 20CT UNSCNTD SUPER ABSORB,FBM,4.5,24.11,3.62,7.0,8.99,37.3,199.9,50,28583,False,buy
4005808801046,B01G8O57FO,NIVEA 150ml CREME TIN,FBM,2.5,18.98,2.85,5.0,8.63,45.5,345.3,0,217810,False,marginal
012587223055,B0BR42FWXJ,GLAD 20CT 13GL FRCE FLX MAX DS CLRX,FBM,3.6,19.99,3.0,5.0,8.39,42.0,233.1,0,34638,False,marginal
6001087357050,B00ZGC6C40,VIC 400ML LTN ALOE SOOTHE,FBM,2.4,16.97,2.55,5.0,7.02,41.4,292.7,1000,16451,False,buy
309976623481,B07122STXT,COLORSILK 4B BURGANDY,FBM,2.15,18.99,2.85,7.0,6.99,36.8,325.2,0,8013,False,marginal
814655030776,B087MZC1SW,FACIQUE 30CT 4PK ASST FACIAL WIPES,FBM,1.8,17.5,2.62,7.0,6.08,34.7,337.5,0,482295,False,marginal
030772033456,B09TWVDWC7,ALWAYS 17CT ULT THN #3 XTRA LNG PAD,FBM,4.25,17.95,2.69,5.0,6.01,33.5,141.4,0,736289,False,marginal
037000899099,B072L9RRTW,ALWAYS 14CT SIZE 3 XTRA HVY UNSCNTD,FBM,4.25,17.62,2.64,5.0,5.73,32.5,134.8,0,259916,False,marginal
309976623498,B00M7B4KEW,COLORSILK 49 AUBURN BROWN,FBM,2.15,14.95,2.24,5.0,5.56,37.2,258.5,0,0,False,marginal
060258360905,B01JMU4WZ2,BRITA SOHO 5-CUP RED PTCHR+FILTER,FBM,15.5,32.99,4.95,7.0,5.54,16.8,35.8,0,493465,False,marginal
4015400260837,B00ISYOH5O,ALWAYS 8CT SIZE 3 CLASSIC NGHT WING,FBM,1.5,14.0,2.1,5.0,5.4,38.6,360.0,0,286622,False,marginal
4005900893659,B09NDWL8XK,NIVEA 400ML ENERGZNG MICELLAR WATER,FBM,3.0,15.38,2.31,5.0,5.07,33.0,169.1,0,524050,False,marginal
381519186882,B07MCDKV7Z,AUSSIE 5.7z MIRACLE CURLS #2 MED HD,FBM,3.5,15.94,2.39,5.0,5.05,31.7,144.3,0,185199,False,marginal
309976623610,B01IA98Z7M,COLORSILK 6N DARK BLONDE,FBM,2.13,14.25,2.14,5.0,4.98,35.0,233.9,50,8013,False,buy
607869312154,B0CZZZT142,CONTIGO 24z CORTLAND BLUE METAL BTL,FBM,11.0,24.54,3.68,5.0,4.86,19.8,44.2,300,563,False,buy
5000207004981,B001CLR60S,CLEAN & CLEAR 200ML CLNSG LIQ LTN,FBM,2.75,14.74,2.21,5.0,4.78,32.4,173.8,100,79136,False,buy
8901030960574,B0H98M9ZN8,DOVE 13.5z LTN PAMPERING CARE,FBM,3.6,17.99,2.7,7.0,4.69,26.1,130.3,400,32493,False,buy
309978695462,B00M89Z66E,COLORSILK 4GM MED GLD MHGNY BRWN,FBM,2.15,12.97,1.95,5.0,3.87,29.9,180.2,0,8013,False,marginal
309978695417,B00JPCKLEO,COLORSILK 4N MEDIUM BROWN,FBM,2.15,12.95,1.94,5.0,3.86,29.8,179.4,0,8013,False,marginal
030772033692,B09TWVR9ZQ,ALWAYS 26CT LNG SPR #2 W/O FLEX,FBM,4.25,15.29,2.29,5.0,3.75,24.5,88.2,50,153941,False,marginal
037000426899,B01IAI8JA6,ALWAYS 20CT THIN LINERS CLEAN SCENT,FBM,1.0,11.38,1.71,5.0,3.67,32.3,367.3,200,88255,False,buy
075609211560,B0D7WXFGKF,OLAY 18z LTN GLOW W/ROSE WATER,FBM,6.0,18.98,2.85,7.0,3.13,16.5,52.2,200,12001,False,buy
024200038137,B07KQKSRFC,PUREX CRYSTAL 21z BOOSTR FRESH,FBM,3.5,15.99,2.4,7.0,3.09,19.3,88.3,0,291440,False,marginal
814655027868,B07N64PLTK,SPA 30CT 4PK ASST FACIAL WIPES,FBM,1.8,13.99,2.1,7.0,3.09,22.1,171.8,2000,9622,False,buy
309978695301,B00E4MNLKQ,COLORSILK 3N DARK BROWN,FBM,2.15,11.99,1.8,5.0,3.04,25.4,141.5,0,8013,False,marginal
309978695547,B00DZQ6YOC,COLORSILK 5G LIGHT GOLDEN BROWN,FBM,2.15,11.99,1.8,5.0,3.04,25.4,141.5,0,8013,False,marginal
4015400259275,B01KOFIZMK,ALWAYS 10PK CLASSIC NORMAL W/WINGS,FBM,1.5,10.99,1.65,5.0,2.84,25.9,189.4,0,733238,False,marginal
301490001868,B08MH6GVQ4,PEPTO BISMOL 3.4z TRAVEL SIZE W/CUP,FBM,1.97,11.5,1.73,5.0,2.81,24.4,142.4,0,281012,False,marginal
072140801014,B01IADW1T6,NIVEA 1z CREME PDQ DISPLAY,FBM,0.75,9.98,1.5,5.0,2.73,27.4,364.4,50,3607,False,buy
814655035115,B08KSHGS5K,GLOBAL 30CT 4PK ALOE ASST FCL WIPES,FBM,1.8,12.99,1.95,7.0,2.24,17.3,124.5,100,10558,False,buy
025700003304,B07GSK4KVM,ZIPLOC 24CT STRGE BAG 1QT SEAL TOP,FBM,2.5,11.26,1.69,5.0,2.07,18.4,82.8,0,672905,False,marginal
023400459018,B00DDA5P7M,COMABT 6CT .21z ANT BAIT STATION,FBM,1.2,11.99,1.8,7.0,1.99,16.6,166.0,0,614320,False,marginal
037000117131,B019O9G6EG,ALWAYS 18CT FLXFM #1 REG UNSCNTD,FBM,4.25,13.14,1.97,5.0,1.92,14.6,45.2,0,351601,False,marginal
010900000406,B01MSBY6IH,REYNOLDS 25sq FT ALUMINUM FOIL,FBM,1.5,9.86,1.48,5.0,1.88,19.1,125.4,0,414785,False,marginal
