Item,SKU,UPC,Unit Cost,Case Size
Air Wick/Essential Oil Starter Kit/1 Gadget + 2 Refill Brown Sugar & Vanilla/3/1/ct,62338-02563,062338025636,4.1867,3
Air Wick/Scented Oil Twin Refill/Midnight Jasmine 2pk/6/1.34/oz,62338-01810,062338018102,3.7867,6
Glade/Aerosol/Sea Mist & Cypress/6/7.3/oz,97981-00421,197981004216,1.21,6
Febreze/Scented Oil/Morning Dew 2pk/6/1.75/oz,30772-10001,037000463009,6.3117,6
Air Wick/Scented Oil/Vibrant Warm Cashmere & Sandalwood 2pk/6/1.34/oz,62338-01441,062338014418,3.7867,6
Febreze/Small Spaces/Linen & Sky/6/1/ct,37000-55963,037000933366,2.7833,6
Glade/Aerosol/Juniper Forest/6/7.3/oz,97981-00466,197981004667,1.21,6
Renuzit/Solid/Vanilla Apricot Blossom & Almond/12/7/oz,70881-43177,070881431774,1.3675,12
Air Wick/Fresh n Up Air Freshner/Fresh Water/12/12.6/oz,11417-77811,5011417563731,1.6833,12
Glade/Wax Melts/Electric Warmer/2/1/ct,62300-71557,062300715572,5.24,2
Febreze/Small Spaces/Gain Original Scent/6/1/ct,37000-55975,037000933311,2.7833,6
Lysol/Spray Disinfectant/Lemon Breeze/6/19/oz,19200-56362,019200878708,4.79,6
Air Wick/Essential Mist/Starter Kit 1 Diffuser + 1 Refill Apple Cinnamon Medley/4/.67/oz,62338-81681,062338816814,6.3125,4
Air Wick/Scented Oil Twin Refill/Cool Linen 2pk/6/1.34/oz,62338-82291,062338822914,3.7867,6
Air Wick/Scented Oil Twin Refill/Aqua Essences Crisp Breeze 2pk/6/1.34/oz,62338-81571,062338775906,3.7867,6
Renuzit/Solid/Lavender/12/7/oz,70881-43133,070881431330,1.3675,12
Renuzit/Solid/Hawaiian Sunset/12/7/oz,70881-43166,070881431668,1.3675,12
Air Wick/Scented Oil/Brown Sugar & Vanilla 5pk/5/3.38/oz,62338-02705,062338027050,7.574,5
Air Wick/Freshmatic Ultra/Starter Kit Ocean Breeze/4/1/ct,62338-88413,062338989785,7.5,4
Febreze/Scented Oil Starter Kit/Machine + Refill Linen & Sky/4/.87/oz,37000-68235,037000901211,5.4575,4
Febreze/Fabric Refresher/Pet Odor Fight/8/14.8/oz,30772-08866,030772088661,3.5213,8
Febreze/Air Freshener Spray/Sugarplum Delight/8/6.25/oz,00216-55242,8700216552448,1.98,8
Air Wick/Scented Oil Twin Refill/Apple Cinnamon Medlley 2pk/6/1.34/oz,62338-80420,062338804200,3.7867,6
Febreze/PLUG Scent Booster Starter Kit/Gain Original 1 Warmer + 1 Refill/2/1/ct,30772-14634,030772146347,10.5,2
Febreze/Air Freshener Spray/Blossom & Breeze/8/6.25/oz,00216-18565,8700216185615,1.98,8
Febreze/PLUG Scent Booster Starter Kit/Hawaiian Aloha 1 Warmer + 1 Refill/2/1/ct,30772-22330,030772223307,10.5,2
Renuzit/Solid/Apple & Cinnamon/12/7/oz,70881-43122,070881431224,1.3675,12
Febreze/Scented Oil Starter Kit/Machine + Refill Cinnamon Apples/4/.87/oz,30772-03414,030772034149,5.4575,4
Febreze/PLUG Scent Booster Starter Kit/Refresh & Energize 1 Warmer + 1 Refill/2/1/ct,30772-14635,030772146354,10.5,2
Air Wick/Scented Oil Twin Refill/Beach Escapes Bali Ocean Air 2pk/6/1.34/oz,62338-00644,062338006444,3.7867,6
Glade/Aerosol/Lemon/6/7.3/oz,97981-00274,197981002748,1.21,6
Febreze/PLUG Scent Booster Starter Kit/Cherries & Berries 1 Warmer + 1 Refill/2/1/ct,30772-22331,030772223314,10.5,2
Air Wick/Scented Oil/Vanilla & Pink Papaya/16/1/ct,62338-02097,062338020976,0.7888,16
Febreze/PLUG Scent Booster Starter Kit/Baked Cinammon Apples 1 Warmer + 1 Refill/2/1/ct,30772-18904,030772189047,10.5,2
Febreze/Car Vent Clip/Hawaiian Aloha/8/3/ct,37000-96523,037000965237,4.1863,8
Febreze/Air Freshener Spray/Spring Awakening/8/6.25/oz,00216-24837,8700216220156,1.98,8
Lysol/Spray Disinfectant/Spring Water Fall/12/19/oz,19200-79326,019200793261,5.365,12
Glade/Solid/Lavender/8/5.3/oz,500020-450388,50204649,1.7363,8
Febreze/Bathroom/Lilac Sunrise/6/1/ct,30772-21158,030772211588,2.7833,6
Febreze/Bathroom/Summer Peaches/6/1/ct,30772-21151,030772211519,2.7833,6
Febreze/Bathroom/Mango Splash/6/1/ct,30772-21155,030772211557,2.7833,6
Air Wick/Scented Oil Refill/Vanilla Passion 3pk/6/2.01/oz,62338-87701,062338877013,4.5233,6
Air Wick/Scented Oil Twin Refill/Botanica Coconut Milk 2pk/5/1.34/oz,00701-06884,9300701068844,3.134,5
Renuzit/Solid/Raspberry/12/7/oz,70881-43111,070881431118,1.3675,12
Glade/Aerosol/Cashmere Woods/6/7.3/oz,97981-00472,197981004728,1.21,6
Air Wick/Scented Oil Twin Refill/Vanilla Passion 2pk/6/1.34/oz,62338-81262,062338812625,3.7867,6
