UPC,Description,Unit Cost,Qty
019100153912,JERGENS 600ML LTN ULT HEALING,4.8,12
022600019565,NAIR 40CT WAX STRIPS LEGS/BDY+WIPES,4.5,12
030772241882,NATIVE 12z DETOX BDY SCRB GUMDROP,5.0,6
812154037319,NATIVE 3z FACIAL SENS UNSCNT CLNSR,2.4,24
3574661529219,NEUTROGENA 125ML CLR&SOOTHE TONER,2.5,6
3574661039725,NEUTROGENA 200ML OIL BLNCE FACE WSH,3.6,6
4006000087016,NIVEA 13.5z LTN CHERRY BLSM W/PMP,4.25,12
072140801014,NIVEA 1z CREME PDQ DISPLAY,0.75,36
812154032864,NATIVE 5z SPF30 SUNSCREEN CCNT&PINE,10.0,12
3574661529240,SIMPLE 200ML SOOTHING FACIAL TONER,3.75,36
3574660569759,NEUTROGENA 200ML RADIANT FACE WSH,3.6,12
4005808801046,NIVEA 150ml CREME TIN,2.5,24
4005808867202,NIVEA 200ML TONER EXTRA BRIGHT 5N1,3.6,12
4005900759207,NIVEA 200ML TONER REFRESHING LOTUS,3.6,24
8904256002578,NIVEA 400ML LTN ALOE HYDRTN W/PMP,4.25,12
8904256008198,NIVEA 600ML BDY LTN BODY MILK W/PMP,4.5,12
4006000034027,NIVEA 625ML BODY LTN ALOE W/PUMP,4.5,12
814655034118,NOBELMAN 3PK 30CT ASST ACTIVE WIPES,1.2,12
4005900893659,NIVEA 400ML ENERGZNG MICELLAR WATER,3.0,10
8904256000109,NIVEA 400ML LTN COCOA NOURUISH PMP,4.25,12
8904256009850,NIVEA 600ML BDY LTN SHEA SMTH W/PMP,4.5,12
8412300801072,NIVEA CREME 400ML TIN 24/CS.,4.5,24
087300560090,NOXZEMA 2z ORG CLASSIC CLNSG CREAM,1.5,24
030772149300,OLAY 11z MINERAL SCRUB GUAVA CCNT,6.0,12
075609217463,OLAY 17z BDY LOTION BERRY BUBBLY,7.0,6
075609215339,OLAY 17z DARK SPOT BDY LTN W/PMP,6.5,6
075609206573,OLAY 17z NIACINAMIDE BDY LTN W/PMP,6.5,6
075609211560,OLAY 18z LTN GLOW W/ROSE WATER,6.0,12
075609210624,OLAY 12CT CLSNG MELTS FCL CLNSR PAD,1.8,32
075609201042,OLAY 17z COLLGN PEPTDE BDY LTN PMP,6.5,6
075609201035,OLAY 17z HYALURONIC BDY LTN W/PMP,6.5,6
075609208348,OLAY 17z RETINOL24 BDY LTN W/PMP,6.5,6
012044060049,OLD SPICE 16z CAPTAIN LTN BERGAMOT,4.75,6
012044059999,OLD SPICE 16z GM LOTION LAV+MINT,5.5,6
012044060001,OLD SPICE 16z SWAGGER LTN CEDARWOOD,4.75,6
6001087376167,PONDS 400ML MICELLAR WTR FLWLS RDNC,3.0,15
719346636933,REVLON 8z BRITNEY SPRS FANTASY MIST,5.25,24
085805554927,REVLON 8z ELZBTH ARDEN GRN TEA MIST,5.25,24
012044066102,OLD SPICE 16z LTN STAR SHOWER MARIO,4.75,6
012044057285,OLD SPICE 3z LOTION SWAGGER,1.8,15
6001087378185,PONDS 400ML MICELLAR WTR PIMPLE CLR,3.0,15
085805548780,REVLON 8z ELZBTH ARDEN SNFLWRS MIST,5.25,24
085805554941,REVLON 8z LIZ ARDEN GREEN TEA MIST,5.25,24
8710447172087,SIMPLE 25CT CLNSNG WIPE WATER BOOST,2.4,6
8710908711619,SIMPLE 400ML HYDRTNG MICELLAR WATER,3.0,6
072785143999,SONOMA SPA 6z NPR VIT E + PANTHENOL,1.1,12
8720181113666,SIMPLE 125ML HYDRATING MIST,1.2,6
8720181209444,SIMPLE 25CT CLEANSING WIPES,2.4,6
8720181209451,SIMPLE 2PK 25CT CLNSING FACIAL WIPE,4.8,3
8710908371509,SIMPLE 400ML MICELLAR WATER,3.0,6
814655036952,SPA 1.7z HYDRTNG GEL CREAM,1.2,72
814655027868,SPA 30CT 4PK ASST FACIAL WIPES,1.8,12
814655046036,SPASCRIPTIONS 60CT MICELLAR WIPE,1.65,12
814655042281,SPATHECARY 60CT WIPES ALOE VERA,1.65,12
8710908812576,ST IVES 150ML RADIANT SKIN SCRUB,2.4,6
077043002032,ST IVES 21z LTN SMOOTH ROSE ARGN OI,3.0,4
814655020784,SPASCRIPTIONS 60CT ANTIAGE WIPE CIT,1.65,12
814655042007,SPATHECARY 4X30CT FACE WIPE COCONUT,1.8,12
7506306218093,ST IVES 13.5z LTN VIT E + AVCDO PMP,2.4,12
077043608067,ST IVES 21z LTN SFTNING CCNT ORCHID,3.0,4
8712561241519,ST IVES 35CT WIPES GENTLE/SENSITIVE,1.8,5
8712561241434,ST IVES 35CT WIPES NORMAL/COMBO SKN,1.8,5
6001087365789,VASELINE 450ML BABY PETROLEUM JELLY,4.25,24
305210042889,VASELINE VPJ 13oz COCOA BUTTER,4.25,24
8886304601141,VIC 200ML CALM HLNG BDY OIL GEL LVN,5.75,18
6001087357043,VIC 400ML LTN DRY SKIN REPAIR,2.4,48
017000044217,TONE 12z HAND/BDT LTN COCOA BUTTER,2.4,6
305212345001,VASELINE JAR VPJ REG 13 OZ,4.25,24
305212335002,VASELINE VPJ 13oz NURSERY,4.25,24
6001087357050,VIC 400ML LTN ALOE SOOTHE,2.4,48
6001087008488,VIC 400ML LTN EVEN TONE SPF10 B3,2.4,48
8886467039997,VIC 6.8z BODY OIL GEL COCOA RADIANT,5.75,18
8886467042560,VIC 6.8z BODY OIL GEL COCONUT RSTRE,5.75,18
607869310983,CONTIGO 14z KIDS TUMBLER JUNIPER,3.6,6
607869286363,CONTIGO 24z ASHLAND GRAY BOTTLE,5.5,4
607869286288,CONTIGO 24z ASHLAND PINK BOTTLE,5.5,4
607869312147,CONTIGO 24z JACKSON BLUE CHUG BTL,5.5,4
607869284666,CONTIGO 20z JACKSON METAL CHUG BTL,10.0,4
607869299998,CONTIGO 24z ASHLAND GREEN BOTTL,5.5,4
607869312154,CONTIGO 24z CORTLAND BLUE METAL BTL,11.0,4
607869313304,CONTIGO 32z ASHLAND BLUE BOTTLE,6.0,4
3574661440477,J&J 200CT BABY COTTON BUDS,1.65,6
041554082739,MAYBELLINE 2PK MASCARA BRWNISH BLCK,9.0,36
