Item,SKU,UPC,Unit Cost,Case Size
White Swan/Scented Candle/Angel Orchids/6/10/oz,14367-35121,714367351223,3.25,6
White Swan/Scented Candle/Sugared Lemon/6/10/oz,14367-35377,714367353784,3.25,6
White Swan/Scented Candle/Just Cinnamon/6/10/oz,14367-35183,714367351841,3.25,6
White Swan/Scented Candle/Tropical Blend/6/10/oz,14367-35123,714367351247,3.25,6
White Swan/Scented Candle/Juicy Mango/6/10/oz,14367-35145,714367351469,3.25,6
White Swan/Scented Candle/Lavender Bergamot/6/10/oz,14367-35206,714367352077,3.25,6
White Swan/Scented Candle/Shea Butter/6/10/oz,14367-35204,714367352053,3.25,6
White Swan/Scented Candle/Cotton Breeze/6/10/oz,14367-35117,714367351186,3.25,6
White Swan/Scented Candle/Fresh Mist/6/10/oz,14367-35153,714367351544,3.25,6
White Swan/Scented Candle/Lavender Vanilla/6/10/oz,14367-35115,714367351162,3.25,6
Glad/Drawstring/Tall Kitchen White Lavender Odor Shield 13gl/3/80/ct,12587-78902,012587785331,15.4533,3
Glad/Handle-Tie/Tall Kitchen 13gl/4/50/ct,12587-60764,012587607640,10.0475,4
Glad/ForceFlex/Tall Kitchen Gain Original Odor Sheild 13 Gallon/6/34/ct,12587-78692,012587786925,9.7483,6
Trash Away/Contractor Bag/42gl Black/4/18/ct,14367-35278,714367352794,8.93,4
Black Bear/Contractor/42gl Black/24/2/ct,14367-35316,714367353173,0.6312,24
Glad/Quick Tie/Tall Kitchen White 13 gl/12/15/ct,12587-00070,012587000700,3.8508,12
Glad/Forceflex Drawstring/Tall Kitchen Unscented Odor Shield 13gl/6/40/ct,12587-79008,012587790083,9.7483,6
Glad/Drawstring/Tall Kitchen White Fresh Clean Odor Shield 13gl/6/40/ct,12587-78361,012587783610,9.7483,6
Glad/Drawstring/Tall Kitchen White Lemon Odor Shield 13gl/6/40/ct,12587-78366,012587783665,9.7483,6
Glad/ForceFlex/Pine Sol Original 30gl/6/34/ct,12587-22496,012587224960,9.7483,6
Glad/ForceFlex Drawstring/Trash Black 30gl/6/25/ct,12587-70359,012587703595,9.7483,6
Trash Away/Drawstring/Tall Kitchen Lemon Scent 13gl White/4/63/ct,14367-35216,714367352176,8.93,4
Glad/Quick Tie/Tall Kitchen 13 gl/4/68/ct,12587-22435,012587224359,10.0475,4
Glad/Force Flex/Tall Kitchen 13gl/3/120/ct,12587-79158,012587791585,13.6667,3
Trash Away/Fast Tie/Trash 30gl Black/4/50/ct,14367-35049,714367350509,8.93,4
Glad/Drawstring/Trash Black 30gl/6/28/ct,12587-78966,012587789667,9.7483,6
Glad/Quick Tie/Trash Black 30 gl/4/40/ct,12587-60035,012587600351,10.0475,4
Glad/Drawstring/Medium Trash 8gl/6/26/ct,12587-22360,012587223604,4.1867,6
Glad/ForceFlex/Black Large 30gl/6/15/ct,12587-22345,012587223451,4.1867,6
Trash Away//Small Trash 4gl White/12/150/ct,14367-35340,714367353418,4.1867,12
Trash Away/Drawstring/Tall Kitchen 13gl Black/4/75/ct,14367-35240,714367352411,8.93,4
Trash Away/Drawstring/Tall Kitchen 13gl White/4/75/ct,14367-35055,714367350561,8.93,4
Trash Away/Drawstring/Trash 30gl Black/12/20/ct,14367-35063,714367350646,4.1867,12
Trash Away/Drawstring/Tall Kitchen 13gl White/12/35/ct,14367-35057,714367350585,4.1867,12
Trash Away/Drawstring/Trash 30gl Black/4/45/ct,14367-35061,714367350622,8.93,4
Raid/Fast Kill Ant & Roach/Lemon/12/17.5/oz,46500-16479,046500164798,3.6717,12
Off/Insect Repellant Spray/Deep Woods/12/4/oz,46500-71764,046500717642,2.8925,12
Raid/Ant Killer/Pine Forest Fresh/12/17.5/oz,46500-01714,046500017148,3.6717,12
Raid/Ant Bait/Red Box/12/4/ct,46500-76746,046500767463,2.6192,12
Raid/Ant & Roach/Outdoor Fresh 2pk/5/17.5/oz,46500-77692,046500119521,7.342,5
D-CON/Bait Station/No View No Touch Mouse Trap/6/2/ct,19200-76450,019200783576,2.83,6
Raid/Fast Kill Ant & Roach/Lavender/12/17.5/oz,46500-73963,046500739637,3.6717,12
D-CON/Bait Station/Corner Fit/6/3/ct,19200-99427,019200983426,4.3133,6
