Item,SKU,UPC,Unit Cost,Case Size
Cr gibson n squared leatherette desk pad ...,STAT036611,009292910189,1.50,10
Nexxus conditioner unbreakable care 32oz/...,BEAU035914,605592008481,6.00,3
"Kiwi select sport shoe laces 1 pair 45""ov...",SOFT029077,031600003108,0.25,48
Kiwi style no-tie laces 1pr-boingz wht,SOFT018268,031600635026,0.10,48
Bergan turbo grooming arch cat toy green ...,PETS031060,879213003159,0.75,4
Pet bowl - bad to the bone small 4.25dx2h...,PETS030785,072456141033,1.50,6
Instant nurse wine glass 16oz,HSWE031942,672649292339,0.50,16
Rainbow drink tumbler 22oz,HSWE031888,672649162373,2.50,12
What up beaches? mug 13.5oz,HSWE031795,672649155634,1.00,24
Cool gear citrus straw stirrer - 2 pc set...,HSWE030754,845604015247,0.10,24
Sp bulbhead ruby holding hands reusable m...,HDWE028672,097298047985,1.00,36
Khaby's khasa garlic peeler,ASTV031518,740275302262,0.30,4
Walnut wood pepper grinder ni kamenstein ...,HSWE035008,037531055872,5.00,4
Franks redhot burger sauce squeeze 12 fl ...,FOOD038719,041500013374,1.25,6
Sp wilt metal cookie cutter hibiscus  1ct,BAKE028004,070896081896,0.05,36
Rite aid nighttime severe cold & flu reli...,HEAL041220,011822555623,1.35,12
Good cook silicone balloon whisk,HSWE038835,076753521567,1.00,72
250ct red rose petals,GIFT038304,192887286988,1.20,48
Rite aid 3pk glue stick - 2 clear + 1 bon...,STAT036942,011822950848,0.30,48
Cr gibson 14x14 stripe desk pad,STAT036148,009292906366,0.75,12
Venari 20 panel soccer ball #4 navy blue ...,SPOR035749,752044439796,2.50,24
"Collar italian leather brown xl 17"" x 20.5""",PETS036012,079441910124,1.25,12
"Collar italian leather brown lg 15"" x 18""",PETS036011,079441910087,1.00,12
"Collar italian leather brown med. 11.5"" x...",PETS036010,079441910049,1.00,12
Dawn 4ct scrubbie cleaning pad sponges,HSWE037405,011171385261,1.65,6
Hello kids fluoride mouthwash unicorn spl...,BEAU038282,819156022275,2.00,6
