Item,SKU,UPC,Unit Cost,Case Size
Xtra/Liquid/Calypso Fresh/6/57.6/oz,94514-02007,094514020074,3.305,6
Arm & Hammer/Liquid/Oxi Clean Ultra Stain Fighters Fresh 122ld/2/158.6/oz,33200-99748,033200997481,16.81,2
Purex/Liquid/Crystals Fresh Lavender Blossom/6/75/oz,24200-09207,024200092061,4.7233,6
Xtra/Liquid/Plus Scent Booster/6/56/oz,94514-00096,094514000960,3.305,6
Tide/Liquid/Matic Front Load/12/28.7/oz,987176-179903,4987176179906,3.135,12
Xtra/Liquid/Tropical Passion/6/57.6/oz,94514-02004,094514020043,3.305,6
Tide/Liquid/Original HE 146ld Ultra Concentrated/4/163/oz,30772-12951,030772129517,24.3,4
Tide/Liquid/Original HE/6/40/oz,30772-12118,030772121184,9.29,6
Xtra/Liquid/Woodland Mist/6/57.6/oz,94514-02005,094514020050,3.305,6
Clorox/Bleach/Disinfecting/28/11/oz,44600-32436,044600322490,1.2461,28
Arm & Hammer/Liquid/Clean Burst 174ld/2/174/oz,33200-00426,033200004264,16.81,2
Tide/Liquid Detergent/Ultra Hygienic Clean 94ld/4/132/oz,30772-12216,030772122167,22.08,4
Xtra/Liquid/Plus Oxi Clean/6/56/oz,94514-00093,094514000939,3.305,6
Tide/Liquid Detergent/Ultra Oxi 94ld/4/132/oz,30772-11957,030772119570,22.08,4
Gain/Liquid/Original/4/88/oz,30772-09210,030772092101,11.045,4
Gain/Liquid/Odor Defense Super Fresh Blast/4/88/oz,30772-09467,030772094679,11.045,4
Clorox/Bleach Liquid/Original/3/121/oz,55500-01734,055500017348,5.49,3
Gain/Liquid/Cold Water Blissful Breeze/4/88/oz,30772-12563,030772125632,11.045,4
Gain/Liquid/Moonlight Breeze/4/88/oz,30772-09209,030772092095,11.045,4
Arm & Hammer/Power Sheets Laundry Detergent/Fresh Breeze 70ld/6/35/ct,33200-94257,033200942573,3.3667,6
Foca/Powder//10/4/lb,12005-42757,012005427577,5.249,10
Blanca/Powder//36/18.5/oz,12005-44882,012005448824,1.2939,36
Ariel/Powder/Original 129ld/3/205/oz,30772-22943,030772229439,13.8767,3
Tide/Powder/Plus Double Power Jasmine & Rose/48/17.6/oz,987176-068897,4987176068897,1.0519,48
Foca/Powder//18/37/oz,12005-42758,012005427584,2.6194,18
Tide/Powder/Original 44ld/4/49/oz,30772-16669,030772166697,11.5725,4
Tide/Powder/Plus Double Power Lemon & Mint/48/17.6/oz,987176-115119,4987176115119,1.0519,48
Foca/Powder/i/36/18.5/oz,12005-42759,012005427591,1.315,36
Ariel/Powder/Ultra Oxi 96ld/2/153/oz,30772-22939,030772229392,13.875,2
Ariel/Powder/Original 44ld USA/6/70/oz,37000-74241,037000945994,5.47,6
Ariel/Powder/Original 11ld USA/24/17/oz,37000-94597,037000945970,1.6333,24
Tide/Powder/WDowny Bag/2/315/oz,02430-70293,4902430702935,18.67,2
Tide/Powder/Plus Double Power Lemon & Mint/24/35.2/oz,987176-115065,4987176115065,1.9988,24
Ariel/Powder/Original 22ld/9/35/oz,37000-94598,037000945987,3.1033,9
Tide/Powder/Plus Double Power Jasmine & Rose/24/35.2/oz,987176-115058,4987176115058,1.9988,24
Ariel/Powder/Original 5ld/48/8/oz,30772-10924,030772109243,0.8942,48
Tide/Powder/WDowny Bucket/1/315/oz,902430-702942,4902430702942,30.5,1
Tide/Powder/WDowny Bag 350gr/36/12.3/oz,02430-79929,4902430756167,0.9467,36
Oxi Clean/Powder/Laundry Stain Remover White Revive/4/48/oz,57037-51525,757037515259,6.8275,4
Oxi Clean/Powder/Versatile Stain Remover Odor Blasters/4/48/oz,57037-95068,757037950685,6.8275,4
Zote/Laundry Bar Soap/Pink/25/14.11/oz,12005-00571,012005005713,1.5676,25
Oxi Clean/Powder/Versatile Stain Remover Free/4/48/oz,57037-51524,757037515242,6.8275,4
