Item,SKU,UPC,Unit Cost,Case Size
Glade aerosol spray mighty mango 8.3oz us,CLEA031479,046500049071,1.00,6
Mr clean standup dustpan,CLEA032788,011171540899,2.50,5
Imaginext lightyear mission figures multi...,TOYS030913,194735057221,2.00,4
Aspercreme lidocaine rosemary 1.75oz exp ...,HEAL037359,041167056509,0.25,12
Rite aid simplfy dish liquid ocean breeze...,CLEA036670,011822051767,0.65,6
"Walgreens reusable latex gloves, 13"" cuff...",CLEA033587,049022833081,0.25,144
15 sqft everyday premium gift wrap -- bir...,GIFT038302,018697036356,0.50,36
Roseart wash school glue 4oz,STAT030599,072348022044,0.60,48
Popsugar double sided pillowcase,ASTV031507,740275301623,0.25,4
Conair classic wood all purpose brush  gr...,BEAU027565,074108873019,2.25,24
Cra-z-art abraham hunter 1000pc. cork puz...,TOYS035246,4895145444590,2.50,6
Goody bobby pins 60ct black ni,BEAU029858,041457015384,0.45,72
Good cook pro basting spoon,HSWE036642,076753057639,1.00,24
Got2b color metallics m65 ultra deep red,BEAU032808,052336923126,1.00,12
Mainstays double fruit-baller,HSWE030103,076753010399,0.25,48
Gift wrap - everyday premium heavyweight,GIFT038299,018697647323,0.30,36
Meijer sterile cotton balls 130ct ni,HEAL026741,708820657113,1.00,24
Naturezway bamboo perforated towels - 25 ...,HSWE035768,716554002956,0.75,12
Paw patrol bubble bath 24oz ni,BEAU034395,889628184633,1.00,12
Bendon tin can dice game pdq asst  6pc,TOYS035038,805219514801,0.50,6
Cocomelon straw cup 12oz ni.,HSWE031573,071463118618,0.75,12
Splash bash inflatable float unicorn ring...,SEAS029786,677869301021,1.00,24
Humane society heavy duty pet waste bags ...,PETS029085,705654018486,3.00,24
"Lush decor sherpa throw 50""x60"" universe ...",SOFT029729,848742074237,4.00,8
Bendon transformers activity and coloring...,BOOK035042,9781690235132,0.30,48
Cra-z-art pbs kids arthur puzzle assortme...,TOYS034551,4895145430142,0.75,12
"Kiwi sport laces 1pr/54""-flat/black",SOFT018234,031600666167,0.10,48
Popsugar weighted eye mask,ASTV031506,740275301616,1.00,4
"Kiwi outdoor lace 60"" round gold brown 1 ...",SOFT018256,031600701837,0.10,48
Rust-oleum stops rust spray paint 12 oz. ...,HDWE032824,020066185800,1.50,6
Pfaltzgraff 4.5in canister criss cross wh...,HSWE035458,025398224609,0.75,6
"Curad self-adherent wrap black 3"" 5yds ni",HEAL032984,193489023490,0.75,24
Pfaltzgraff 6.5in canister criss cross wh...,HSWE035459,025398224593,0.75,6
Refresh your car! air freshener vent clip...,AUTO032713,012844037876,0.25,24
Excedrin pm headache caplets 24ct exp 2/2...,HEAL032850,300672056245,0.25,24
Singer no-sew adhesive 21pc repair kit,ARTS026663,075691002343,0.25,72
"Kiwi outdr shoe lace 1pr/45""- round black",SOFT018253,031600701394,0.10,48
"Kiwi flat kids sport laces 36""/1pr- white",SOFT018239,031600666365,0.10,48
"Mainstays melamine turner, white",HSWE030110,076753004190,0.20,12
Mrs meyers tin candle mum 2.9 oz,CAND040812,808124117792,1.35,8
Equate elastic elbow support sleeve coppe...,HEAL032987,681131386975,0.50,12
"Kiwi flat sport laces 63""/1pr- white",SOFT018238,031600666310,0.10,48
Rust-oleum stops rust spray paint 12 oz. ...,HDWE032828,020066485894,1.50,6
Drizzl bug set bucket 0.11 lbs ages 5+ | ...,TOYS028783,010984058201,0.50,6
"Kiwi kid sport laces 36""/1pr-black",SOFT018236,031600666143,0.10,48
Iq treat mat reward small orange,PETS029277,012575512536,0.25,80
Hair bow 24pc sidekick,BEAU035823,740275303092,0.25,24
3 tier non skid shelf organizer,HSWE035171,843018111562,0.50,12
Masters of the universe: mega construx - ...,TOYS035873,887961886986,2.00,5
Halloween turner pumpkin 1ct ni,BAKE030670,070896163523,0.25,36
Farberware bakers advantage fine zester g...,HSWE029954,024131509645,1.50,12
Over the sink roll up drying rack w/ uten...,HSWE035180,843018113443,2.00,20
Animal planet red & white orange&white bl...,PETS029089,705654090529,2.50,36
"Kiwi flat sport laces 72""/1pr- black",SOFT018229,031600666174,0.25,48
Bendon coloring and activity book 30pg w/...,BOOK035041,805219508053,0.30,84
Kiwi boot cleaner 4floz us,CLEA033877,031600270104,0.50,12
"Kiwi outdr shoe lace 1pr/45""-rnd rrown",SOFT018257,031600662114,0.10,48
"Kiwi outdoor shoe lace round brown 54"" 1 ...",SOFT018255,031600701813,0.15,48
"Franklin 9"" blue neogrip baseball glove w...",SPOR035783,025725434947,4.00,6
Mikasa gourmet basics rope 14in white pap...,HSWE035460,025398218394,1.25,2
Allrecipes artisan ebtb blends set of 3,FOOD033610,037531080324,2.00,6
"Kiwi flat sport laces  63""/1pr-black",SOFT018240,031600701684,0.10,48
Rite aid 100ct  alcohol prep pads sterile...,HEAL039218,011822515665,0.65,30
Barbie minland tray 75pc,TOYS038250,194735245222,70.00,1
Mattel greedy gator game,TOYS031227,194735172412,5.00,3
Paris hilton 22oz hydration bottle w/ str...,HSWE038512,850042710647,3.00,6
Road trip usa wordsearch puzzle 192pg pp ...,BOOK033228,9781667200712,0.75,64
Warheads ooze chewz ropes theatre box 3.5...,FOOD036870,32134212264,0.45,12
Gibson home 8pc melamine nesting food sto...,HSWE036885,085081541789,4.00,4
Glade large candle wintery balsam fir 16o...,CAND037964,10046500042925,4.25,1
Pj masks: mighty masks - paperback colori...,BOOK030501,9780794447502,0.30,24
Good cook everyday ice cube tray,HSWE036647,076753166805,1.00,48
Goodcook 36pc corn skewer clip strip,HSWE030173,076753125857,0.50,1
"Lush decor sherpa throw 50""x60"" camouflag...",SOFT029739,848742074831,4.00,8
Evercare 100lyr lint roller,HSWE038812,070982003344,1.65,48
4pc good cook rectangle 4 cup storage,HSWE037989,076753108898,2.00,6
Good cook pro tongs,HSWE036645,076753057967,1.20,24
Crayola project xl poster marker - red ni,STAT028992,071662183615,1.20,12
"Kiwi outdr lace 1pr/72""-dark brwn /leathr",SOFT018247,031600667102,0.10,48
Playtex silicone pacifier with cover 4pk ...,BABY030235,094606088449,1.00,36
Goody pretty in pink collection 42ct disp...,BEAU035909,041457954195,0.65,42
Franklin  ping pong balls  40mm  12ct,SPOR035781,025725413676,1.00,6
Paper mate inkjoy rollerball fine point p...,STAT040374,071641127623,0.30,48
Disney: alice in wonderland paperback 32p...,BOOK033214,9780794446536,0.30,80
Paris hilton 22oz hydration bottle w/ str...,HSWE038513,80042710668,3.00,6
Puzzle collector gaurdians of the lake 10...,TOYS037937,4895145436151,2.50,6
"Snoozzy glam pet donut faux fur pet bed 26""",PETS035656,029695808968,7.00,4
Carson de losa take along springtime acti...,BOOK029477,9781483850955,0.30,24
"Barbie pop star doll 12"" ni",TOYS038859,194735277582,4.50,4
Good cook measuring spoons 4ct set wholesale,HSWE037406,076753043496,0.40,72
Method daily zen conditioner 13.5oz,BEAU038106,843536108204,2.00,12
Method daily zen shampoo 14oz,BEAU038101,8436108198,2.00,6
"Kiwi dress laces 27""/2 pr-rnd/brown",SOFT018243,031600663241,0.10,48
Pj masks: hooray for christmas! - paperba...,BOOK030500,9780794443948,0.30,48
Seventh generation dish fast rinse spray ...,CLEA035888,732913451678,2.00,24
Good cook 4pc measuring cup,HSWE038830,076753057523,0.85,8
Squasherz 13 asst 6in x 7in,TOYS038471,840023710537,0.60,24
"Franklin flexi cones 4ct/ 9"" soccer, base...",SPOR035791,025725097258,1.50,6
Multi pattern plastic hose nozzle,LAWN036958,843518047231,0.75,16
Fatcat catfisher doorknob hanger,PETS035695,792196100151,1.00,12
Got2b color metallics m64 purple night,BEAU032809,017000339443,1.00,12
Ready 2 robot pilots - assorted,TOYS030926,035051554004,0.50,12
Multipet happy birthday cake 6 candles  d...,PETS039371,784369271836,1.80,60
"Kiwi select sport shoe laces 1 pair 45""ov...",SOFT029039,031600003009,0.25,48
"Kiwi sport laces 54"" 1 pair flat white",SOFT029032,031600003047,0.25,48
"Kiwi outdoor lace 72""/1pr-round/brown",SOFT018248,031600664163,0.10,48
"Cloth round trivet 9""-asst colors",HSWE013199,044712000828,0.75,48
Good cook 4ct measuring spoons cdu - 12pc,HSWE037435,076753198653,6.50,1
Naturezway 10pk plastic forks - silver,HSWE035333,071582300512,0.20,100
Bendon boys rule activity and coloring  b...,BOOK035043,9781690200444,0.30,48
The hair lab shampoo 11oz - moisturizing,BEAU034902,810093660025,0.75,24
Farberware colourworks 8 inch mini bastin...,HSWE034489,024131492688,0.50,24
Allrecipes .88 oz smoked paprika,FOOD033617,037531076358,0.50,18
Blippi: pets - board book  pp$9.99 us / $...,BOOK030512,9780794445492,1.00,42
Placker's gentle line floss picks 75ct ni*,BEAU039041,651080301282,0.80,72
Baking cup black mini 50 ct ni,BAKE033878,070896072979,0.10,24
Gibson home 11in frying pan - black gray ...,HSWE036889,085081593528,6.50,12
3pk green grown straw cups - girl,HSWE035968,071463068432,0.50,24
12ct persil proclean ultra pacs,CLEA042208,024200055318,3.15,6
Chesapeake bay jar candle bohemian teakwo...,CAND038314,041226248319,3.50,4
Fatcat classic appeteasers 2ct,PETS035697,792196500272,0.30,12
Refresh your car! winter berries vent sti...,AUTO032716,012844043020,0.25,24
Disney: mickey's best slumber party paper...,BOOK033215,9780794444617,0.50,80
Pet bowl - lattice aqua - medium 6dx2h,PETS030780,738215372611,0.75,12
Farberware bakers advantage spatula ni,HSWE029962,024131509577,1.30,12
Little ready reader's wild animals book 1...,BOOK029361,9781731613219,0.55,60
Build the train - hardcover pp$19.99 us /...,BOOK030527,9781684123377,2.75,8
Rite aid 24hr allergy relief tablets 14ct...,HEAL039243,011822999007,0.25,24
Fisher-price wooden jigsaw puzzle,TOYS038254,194735238583,1.75,20
Masking tape 0.75in x 20yds,STAT036925,049022157583,0.25,48
Venari 20 panel soccer ball #5 black teal...,SPOR035747,752044439819,2.50,24
Petmate ultra lightweight bowl md 2cup,PETS035735,029695230783,0.30,12
Quirky kitty spicy meowgarita 2pk,PETS035696,780824166501,0.30,24
Jw treat pod nylon lg,PETS035715,618940461258,1.50,24
"Wild eats water buffalo tuffie 8"" 2pk bes...",PETS035682,611403706859,2.00,12
Byo 4pk plastic cup set girl ni,HSWE035894,844983069483,1.00,9
Robitussin elderberry adult cough syrup 4...,HEAL038313,300313018502,1.00,24
"Kiwi style laces 45""/1pr-oval/grey",SOFT018258,031600701431,0.10,48
Vanness raised feeder bowl blue,PETS029098,079441020021,1.00,6
I wet my plants small planter,HSWE031945,672649227065,0.50,32
"Blippi: brush, brush, brush your teeth - ...",BOOK030514,9780794446611,0.75,38
Essence of beauty face 2ct round sponges ...,BEAU028570,050428050132,0.30,144
"Ames 2-piece garden tool set - (prop-65, ...",LAWN036750,49206132559,5.00,16
Rite aid nighttime severe cold & flu reli...,HEAL039264,011822379885,0.60,12
Better than marinade everything seasoning...,FOOD039042,098308243830,0.25,6
Rite aid invisible tape 1/2 x 450in,STAT036935,011822360678,0.30,144
Naturezway 6pk medium plastic plates w/ri...,HSWE035338,071582300611,0.75,24
Craft fall ribbon assorted colours & size...,GIFT036120,079856585542,0.25,20
