UPC,Description,Unit Cost,Qty
8720181592676,SIMPLE 675ML SHWR GEL SENSITIVE,3.5,24
012044059067,OLD SPICE 2PK 21z BW HYDRO SWAGGER,10.5,4
012044052495,OLD SPICE 33.4z BW DRAGONBLAST,6.75,4
030772035160,OLD SPICE 33.4z BW NIGHTPANTHER,6.75,4
8720181333095,SIMPLE 675ML SHWR GEL RFRSH CCMBR,3.5,24
074182473389,SOFTSOAP 20z BW CCNT BUTTER SCRUB,3.0,4
074182473396,SOFTSOAP 20z BW CRMY MSTRE SHEA ALM,3.0,4
074182473570,SOFTSOAP 20z BW ENRGZE CITRUS BERRY,3.0,4
827854011941,SOFTSOAP 20z BW HAWAIIN LUAU,3.0,4
074182473693,SOFTSOAP 20z BW HYDRTNG MCDMIA OIL,3.0,4
074182473402,SOFTSOAP 20z BW MSTRE VANLLA JJOBA,3.0,4
074182473518,SOFTSOAP 20z BW ENERGZING PMGRNTE,3.0,4
035000971340,SOFTSOAP 20z BW FIJI NIGHTS BRY HBS,3.0,4
074182473709,SOFTSOAP 20z BW HYDRT CCNT LVNDR,3.0,4
074182473662,SOFTSOAP 20z BW MSTR HNY DRP LVNDER,3.0,4
827854025856,SOFTSOAP 20z BW SANTORINI CCMBR MNT,3.0,4
035000969118,SOFTSOAP 20z BW XFLTNG PNK RSE VNLA,3.0,4
827854019169,SOFTSOAP 20z BW/SHVE GEL CUCUMBER,3.0,4
062338002309,SPRAY N WASH 22z LAUNDRY STN RMVR,2.65,12
827854019213,SOFTSOAP 20z BW/SHVE GEL COCONUT,3.0,4
827854019176,SOFTSOAP 20z BW/SHVE GEL STRAWBERRY,3.0,4
035000969071,AJAX 16.9z MLTI-PRPSE CLEANER ORNGE,1.2,24
070881233064,BRILLO 6CT SOAP FREE STEEL WOOL BAL,1.1,24
7615400853724,CIF 1 LITER FLOOR & APC OCEAN FRESH,1.8,12
810003440266,COMET 21oz CLNSNG PWDR LAV W/BLEACH,1.3,12
827854009504,AJAX 21z PWDR CLEANSER W/BLEACH,1.2,12
070881331289,BRILLO PARSON 28z AMMONIA LEMON,1.75,12
810003440174,COMET 21oz CLNSNG PWDR LMN W/BLEACH,1.3,12
810003440716,COMET ULT 32z APC W/BLCH FRESH,2.25,9
8721201945526,DOMESTOS 50GM ATC FRUIT BLISS,1.35,9
019800004460,DRANO 4PK DISPOSLA FOAMING STRP CTR,1.8,10
062338879772,EASY OFF 14.5z OVEN FUME FREE LEMON,3.25,12
035000988706,FABULOSO 56z MLTI-PRPSE CLN SPRING,2.75,6
810003440709,COMET ULT 32z APC W/BLCH LEMON,2.25,9
019800127381,DRANO 17z DUAL FORCE FOAMER CLG RMV,4.5,8
059200007234,DRANO 900ML MAX GEL CLOG REMOVER,4.4,12
062338879796,EASY OFF 14.5z OVEN HVY DUTY FRESH,3.25,12
054600002865,FANTASTIK 32z MPC FRESH SCENT TRGR,2.75,8
019200893312,GLASS PLUS 32z TRGR GLASS CLNR,2.4,9
051700871032,LIME AWAY 22z TRGR,3.25,6
055500016983,LIQUID PLUMR 946ML KITHCEN LEMON,3.6,9
019200996532,LYSOL 32z PET DSFNCTNG CLNR CITRUS,5.0,9
019200825146,LYSOL 48z 2X MLTI-SRFCE POUR LEMON,3.9,9
055500250073,LESTOIL 800ML HVY DTY CLEANER,3.0,12
055500002009,LIQUID PLUMR 900ML PRO CLOG DSTRYR,3.6,9
019200025225,LYSOL 24z TBC PWR CLNG GEL ATLNTIC,2.25,4
019200999120,LYSOL 35CT 3PK DISF WIPE LMN/LIN/MG,6.75,4
019200837040,LYSOL 4PK 80CT DISF WIPES LMN/LIME,16.0,3
