Item,SKU,UPC,Unit Cost,Case Size
"Febreze To Go Fabric Refresher With Gain Original Scent, 2.8-Ounce 12/cs",,037000319726,0.2042,1
Quilted Northern Ultra Soft & Strong Mega Toilet Paper White (295 2-ply Sheets Roll) 4 Rolls 36/pt 12/cs,,042000945608,0.4042,1
Air Wick Scented Oil Vibrant Refills Sweet Hibiscus & Magnolia 5pk Total 3.38 fl oz 126/pt 5/cs,,062338010670,1.51,1
Dial Bar Soap Lavender & Twilight Jasmine 3pk 4oz 168/pt 12/cs,,017000108780,0.2708,1
Tresseme Freeze Hold Hair Spray 11oz 156/pt 6/cs,,022400640457,0.975,1
Arm & Hammer pure Baking Soda 8 oz 24/cs,,033200011309,0.0312,1
Woolite Liquid Laundry Detergent Damage Defense 50 oz 48/pt 6/cs,,062338779409,1.4583,1
Ivory Bar Soap Original 317oz Each 2pk Total 6.3oz 84/pt 36/cs,,037000523703,0.0375,1
"Glade Automatic Spray Refill, Lush Gardenia & Pink Peony , Super Bloom 6.2 oz 6/cs",,046500049170,0.5417,1
Speed Stick Deodorant Regular Light 1.8 oz 12/cs,,022200940207,0.1375,1
"Mitchum Women Gel Antiperspirant & Deodorant, Powder Fresh 3.4 Oz 24/cs",,309978636007,0.1458,1
Dawn 50% Less Scrubbing Dishwashing Liquid 15.5 oz 80/pt 10/cs,,030772000922,0.325,1
Crest Toothpaste Cavity Protection Regular 0.85 oz 36/cs,,037000003403,0.0236,1
Dial Bars 4oz 3pk Refresh & Renew Antibacterial Deodorant Bar Soap Spring Water Scent 216/pt 12/cs,,017000018409,0.2708,1
DAWN Simply Clean Dishwashing Liquid Original Scent 14.6 OZ 50/pt 20/cs,,037000537823,0.075,1
"Nature's Bounty L-Lysine, 1000mg, 60 Tablets 24/cs",,074312060113,0.2063,1
Axe Antiperspirant Invisible Solid Apollo 2.7oz 238/pt 12/cs,,079400260949,0.2708,1
Dial Bars 4oz 3pk Refresh & Renew Antibacterial Deodorant Bar Soap Mountain Fresh Scent 216/pt 12/cs,,017000003245,0.2708,1
"Bounce Dryer Sheets, Outdoor Fresh, 15 Count 144/pt 15/cs",,037000958604,0.1,1
Arm & Hammer Cat Litter Deodorizer With Baking Soda 30 Oz 120/pt 9/cs,,033200150275,0.3611,1
Tide Liquid Original 10oz 60/pt 12/cs,,037000004714,0.2375,1
Degree Solid Cool Comfort 2.7oz 12/cs,,079400205704,0.2708,1
"Crest Scope Classic Mouthwash, Original Formula 16.9 oz 4/cs",,037000956617,1.125,1
Axe Deodorant Stick Essence Dry 2.7oz 12/cs,,079400551009,0.2708,1
Glade PlugIns Scented Oil Refills Radiant Bloom 2 Count Total 1.34 Fl Oz 6/cs,,046500053351,0.5833,1
"Glade PlugIns Scented Oil Refills, Yuzu & White Peach, Fresh 2 Count Total 1.34 Fl Oz 6/cs",,046500049316,0.5833,1
Head & Shoulders Classic Clean Dandruff Shampoo - 1.7 oz 36/cs,,037000446491,0.0264,1
Ziploc Sandwich Bags 40ct 12/cs,,025700711391,0.2042,1
Camay International Body Soap Bar Natural With Fresh Scent 3pk 125g Each 24/cs,,8999999058425,0.0771,1
Spray n' Wash Laundry Stain Remover Max 6.7 oz 8/cs,,062338029276,0.3375,1
Ivory Bar Soap Aloe 317oz Each 3pk Total 9.52oz 120/pt 24/cs,,037000000532,0.0979,1
