Item,SKU,UPC,Unit Cost,Case Size
Dove Rebalance White Peach +Rice Milk Body Wash 20 fl oz 192/pt 4/cs,49086,011111049086,1.5625,4
Dove refresh Cucumber + Green Tea Body Wash - 20 fl oz 192/pt 4/cs,23311,011111123311,1.5625,4
Dove Relax Lavender + Chamomile Body Wash 20 fl oz 192/pt 4/cs,11040,011111010406,1.5625,4
"Dove Relaxing Body Wash, Lavender x Chamomile 1L 35/pt 12/cs",85750L,8901030857508,0.4792,12
Dove Renew Body Wash - Peony & Rose Oil 24hr Lotion-Soft Skin 20 fl oz 192/pt 4/cs,52720,011111527201,1.625,4
Dove Replenish Body Wash Dragon Fruit +Coconut Cream 20oz 192/pt 4/cs,54097,011111054097,1.5625,4
Dove Restore Coconut +Cocoa Butter Body Wash 20oz 192/pt 4/cs,79731,011111079731,1.5625,4
Dove Revitalizante Body Wash Cherry + Chia Milk 20 fl oz 192/pt 4/cs,40083,011111040083,1.5625,4
"Dove Sensitive Skin Beauty Nourishing Body Wash, Effectively Soothes Fragile Skin 1L 35/pt 12/cs",85740L,8901030857409,0.4792,12
Dove Sensitive Skin Nourishing Body Wash 550ml 44/pt 12/cs,51837,8999999518370,0.3542,12
Dove Solid Deodorant Sensitive Skin 2.6oz 12/cs,50740,079400507402,0.25,12
Dove Unwind Blueberry + Moon Milk Body Wash 20 fl oz 192/pt 4/cs,49512,011111049512,1.5625,4
Downy April Fresh Liquid Fabric Conditioner 12 Loads 10 fl oz 12/cs,52401,037000524014,0.125,12
Downy Balance Crisp Rain & Blue Eucalyptus Laundry Scent BoosterB eads 13.4 oz 120/pt 4/cs,20917,030772091708,2.1875,4
Downy Balance Crisp Rain & Blue Eucalyptus Laundry Scent BoosterB eads 18.2 oz 120/pt 4/cs,09169,030772091692,2.4375,4
Downy Balance Crisp Rain & Blue Eucalyptus Laundry Scent BoosterB eads 24 oz 80/pt 4/cs,09168,030772091685,3.0,4
Downy Blends Soft & Fresh Meadow Rain Landry Softness & Scent Booster 25.6oz 120/pt 4/cs,14551,030772145517,2.4375,4
Downy Comfy Cozy In-Wash Softening Booster Beads Meadow Rain Scent 13oz 6/cs,14549R,030772145494,1.625,6
"Downy Cozy Collection In-Wash Scent Booster Beads, Snow Berry 7.8 oz2 10/pt 4/cs",18591,030772185919,1.6,4
"Downy Dryer Sheets, April Fresh 34 Sheets 12/cs",82329,037000823292,0.2417,12
Downy Fabric Conditioner Cool Cotton 12 Loads 10 fl oz 12/cs12/cs,75942,037000759423,0.125,12
"Downy Fabric Softener Liquid (Fabric Conditioner), Cool Cotton Scent, 88 fl oz, 120 Loads 4/cs",10036,030772100363,2.625,4
Downy Fresh Liquid Fabric Softener Lavender Dream 125 oz 40/pt 4/cs,07990,030772007990,2.375,4
Downy Fresh Liquid Fabric Softener Sweet Summer 125 oz 40/pt 4/cs,00800,030772008003,2.375,4
Downy Fresh Liquid Softener Lavender Dream 50 oz 100/pt 4/cs,00797,030772007976,1.125,4
Downy Fresh Liquid Softener Sweet Summer 50 oz 4/cs,01098,030772010983,1.125,4
Downy Infusions Refresh Birch Water Botanicals Scent Booster Beads 24 oz 80/pt 4/cs,87664,030772087664,3.125,4
"Downy In-Wash Laundry Scent Booster Beads, April Fresh 5 oz 210/pt 4/cs",90947,030772090947,1.1875,4
Downy Light In Wash Scent Booster Beads Orange Blossom Scent 7.8oz 210/pt 4/cs,14533,030772145333,1.7125,4
"Downy Light in Wash Scent Booster Beads, Orange Blossom Scent, 24 Oz 80/pt 4/cs",14537,030772145371,3.875,4
"Downy Light Laundry Scent Booster Beads, Ocean Mist Scent, 18.2 OZ 48/pt 9/cs",08778R,030772087787,1.3889,9
Downy Light Laundry Scent Booster Beads Ocean Mist Scent 5.0oz 72/pt 12/cs,08780R,030772087800,0.3958,12
Downy Liquid Fabric Softner April Fresh 19oz 6/cs,10613,037000106135,0.625,6
Downy Rinse & Refresh Fabric Rinse Fragrance Free 25.5 oz 96/pt 6/cs,21111,030772111116,0.9583,6
"Downy Soft Laundry Fabric Softener, Free & Gentle 44 oz 60/pt 6/cs",21004,030712700486,0.875,6
"Downy Soft Laundry Liquid Fabric Softener 2 In 1 Soft & Fresh, Cool Cotton 77 oz 70/pt 4/cs",20039,030772100394,2.25,4
"Downy Ultra Soft + Balance Fabric Softener, Crisp Rain & Blue Eucalyptus 26 oz 108/pt 4/cs",16225,030772162255,1.1875,4
Downy Unstopables Fresh Laundry Scent Booster Beads 18.2 OZ 48/pt 9/cs,08730R,030772087305,1.3889,9
Downy Unstopables Fresh Laundry Scent Booster Beads 5.0 oz 72/pt 12/cs,08725R,030772087251,0.3958,12
Downy Unstopables Fusions 2-in-1 In-Wash Laundry Scent Booster Beads Twilight and Jasmine Scent 10.7,15062R,030772150627,1.4583,6
"Downy Unstopables Fusions 2-in-1 In-Wash Laundry Scent Booster Beads, Sunset + Citrus Scent 10.7oz 9/cs",15063-9r,030772150634,0.8611,9
Downy Unstopables In-Wash Laundry Scent Booster Beads Paradise 18.2oz 120/pt 4/cs,56025,030772156025,2.4375,4
"Dreft Baby Liquid Laundry Detergent, Fights Stains, Removes Odors, 32 loads, 42 fl oz 72/pt 6/cs",17329,030772173299,1.325,6
Dreft Blissfuls Baby Fresh Scent Laundry Scent Booster Beads 5oz 4/cs,85042,030772085042,1.3125,4
Dreft Blissfuls In-Wash Scent Booster Beads Baby Fresh Scent 12.2 oz4 /cs,09556,030772095560,1.5625,4
Easy-Off Cleaner Degreaser Heavy Duty Trigger - 32oz 64/pt 6/cs,99624,062338996240,0.625,6
EASY-OFF Oven Cleaner Fume Free Max Aerosol 14.5oz. 90/plt 12/cs,87977,062338879772,0.3042,12
EASY-OFF Oven Cleaner Heavy Duty Regular Scent Aerosol 14.5oz 90/pt 12/cs,87979,062338879796,0.3042,12
"ERA Active Stainfighter Ultra Concentrated Liquid Laundry Detergent 107 Loads, 154 lf oz 28/pt 4/cs",03931,030772039311,3.875,4
"ERA Oxibooster 3X Liquid Laundry Detergent 87 Loads, 154 lf oz 28/pt 4/cs",03930,030772039304,3.875,4
