Item,SKU,UPC,Unit Cost,Case Size
Arm & Hammer Anticavity Fluoride Toothpaste PeroxiCare Clean Mint 2pk 6oz Each 6/cs,11127,033200001270,0.8083,6
Arm & Hammer Powerfully Clean Naturally Fresh Clean Burst 105 FL OZ 50/pt 4/cs,02666,033200002666,2.375,4
"Arm& Hammer Sensitive Skin Free & Clear Liquid Laundry Detergent, 105 oz 50/pt 4/cs",00267,033200002673,2.4375,4
Arm & Hammer Anticavity Fluoride Toothpaste Sensitive Refreshing Mint 4.5oz 270/pt 12/cs,80869,033200180869,0.1958,12
"Arm & Hammer Ultra Max Solid Antiperspirant Deodorant, Unscented, 2.6oz 12/cs",19714,033200197140,0.2083,12
"ARM & HAMMER Plus OxiClean Fresh Scent, 35 Loads Liquid Laundry Detergent, 45.5 Fl oz 45/pt 8/cs",33002,033200300021,0.6562,8
Arm & Hammer Clean & Simple Liquid Laundry Detergent Crisp Clean Scent 45.5oz 45/pt 8/cs,30052,033200300052,0.6562,8
Arm & Hammer Plus OxiClean Ultra Stain Fighters Fresh Scent 96.2 oz 50/pt 4/cs,97443,033200997443,2.35,4
Arm & Hammer Plus OxiClean Ultra Stain Fighters Fresh Scent 158.6 oz 60/pt 2/cs,99748,033200997481,7.45,2
Hershey's Cookies 'n' Creme Candy Snack Size Bars 31.9 oz Beg 6/cs,27076R,034000070763,1.0833,6
"Reese's, Kit Kat, HERSHEY'S Assorted Flavored Chocolate Candy - 24.8oz 32/pt 8/cs",62858,034000462858,0.8438,8
"Reese's, Kit Kat, HERSHEY'S Miniatures Assorted Milk Chocolate Candy - 24.8oz 32/pt 8/cs",46298,034000462988,0.8438,8
HERSHEY'S Miniatures Assorted Chocolate Candy 30oz 32/pt 8/cs,46305,034000463053,0.8438,8
HERSHEY'S Kisses Milk Chocolate Candy 30oz 32/pt 8/cs,46307,034000463077,0.8438,8
"REESE'S Miniatures Milk Chocolate Peanut Butter Cups, 30oz 32/pt 8/cs",46328,034000463282,0.8438,8
REESE'S Assorted Peanut Butter Candy Variety Pack 18ct Total 27.2oz5 0/pt 6/cs,46719,034000467198,1.5833,6
Hershey Assorted Caramel Candy Box 18 Pieces 29.4 oz 133/pt 6/cs,66921,034000669219,1.5833,6
Hershey's Zero Sugar Chocolate Candy Aspartame Free 5.1 oz 60/pt 8/cs,38377,034000938377,0.2313,8
"HERSHEY'S Chocolate with Almonds Candy Bars Zero Sugar , 5.1 oz 65/pt 8/cs",93848,034000938483,0.2437,8
