UPC,Description,Unit Cost,Qty
309976623481,COLORSILK 4B BURGANDY,2.15,1
309978695431,COLORSILK 4G MEDIUM GOLDEN BROWN,2.15,1
309978695417,COLORSILK 4N MEDIUM BROWN,2.15,1
309978695479,COLORSILK 4WB MEDIUM WARM BROWN,2.15,1
309976623498,COLORSILK 49 AUBURN BROWN,2.15,1
309978695455,COLORSILK 4BR BRIGHT AUBURN,2.15,1
309978695462,COLORSILK 4GM MED GLD MHGNY BRWN,2.15,1
309978695424,COLORSILK 4R MEDIUM AUBURN,2.15,1
309978695509,COLORSILK 5A LIGHT ASH BROWN,2.15,1
309978695547,COLORSILK 5G LIGHT GOLDEN BROWN,2.15,1
309978695608,COLORSILK 6A DARK ASH BLONDE,2.15,1
309978695707,COLORSILK 7A MEDIUM ASH BLONDE,2.15,1
309978456575,COLORSILK #57 LIGHT GLDN BROWN,2.15,1
309978695516,COLORSILK 5N LIGHT BROWN,2.15,1
309976623610,COLORSILK 6N DARK BLONDE,2.13,1
309978456377,COLORSILK #37 DARK GOLDEN BROWN,2.15,1
8001841555881,AUSSIE 3.3z HEAT SAVIOUR LEAVE IN,1.8,1
603084071814,GARNIER 6z SLK & SHINE GLASS HAIR,3.0,1
028001402388,JOHNNY B. 2.25z ORIGINAL POMADE,3.75,1
4987176043405,PANTENE 3z SPRY RPR PRTCT MRCLE OIL,3.0,1
381519186882,AUSSIE 5.7z MIRACLE CURLS #2 MED HD,3.5,1
4987176074942,H&S 3.3z SCALP CARE LEAVE ON SPRAY,3.0,1
4987176077110,PANTENE 12ML 3PK CLLGN TRTMENT SHOT,3.6,1
080878194018,PANTENE 5.7z WAVE&CURL DEF HYD CRME,3.0,1
8720181631726,TRESEMME 170ML 1 MINUTE WOW MSTRE,2.4,1
5012254068151,TRESEMME 250ML H/S #4 EXTRA HOLD,2.65,1
025866592278,ALEVE 6ct ALL DAY PAIN RELIEF 220MG,0.75,1
080196302829,CURAD 80CT PLASTIC NON-STICK BNDGES,1.65,1
846036009514,GOOD SENSE 30CT COUGH DROPS CHERRY,0.6,1
307660746508,TUMS 72CT CHWBLE BERRY ULT STRNGTH,3.6,1
080196300214,CURAD 30CT FLEX FABRIC BANDAGES,0.88,1
080196303055,CURAD 80CT SHEER BANDAGES .75x3in,1.65,1
301490001868,PEPTO BISMOL 3.4z TRAVEL SIZE W/CUP,1.97,1
638060656211,,2.5,1
051141234885,3M SCOTCH 2PK 60SHT LINT ROLLER,3.6,1
060258361421,BRITA 10 CP WAVE PTCHR BLUE+2 FLTRS,21.5,1
060258359916,BRITA 10PK REPLACEMENT FILTER(6),45.0,1
076308409593,3M SCOTCH BRITE 70SHT LINT RLLR,2.4,1
060258360295,BRITA 10 CP WAVE PTCHR PRPLE+2 FLTR,21.5,1
060258365467,,14.0,1
060258354072,BRITA 5 CUP SLIM PTCHR+3PK FILTERS,21.5,1
060258362514,D BRITA DISP 4xSOHO I 10x3PK FLTR BLACK S,12.0,1
060258361282,D BRITA DISP 4xSOHO I 10x3PK FLTR WHITE S,12.0,1
060258360936,BRITA 6-CUP PITCHER+FLTR BLACK,12.0,1
060258364569,BRITA DISP 6CUP PTCHR+FLTR LNG LSTG,18.5,1
010900000864,DIAMOND 200sq FT ALUMINUM FOIL,7.2,1
012587792513,GLAD 16CT FLX & SEAL SNDWICH BAG,0.55,1
012587225080,GLAD 22CT 13GL FRCE FLX DS GAIN LM,3.6,1
060258360905,BRITA SOHO 5-CUP RED PTCHR+FILTER,15.5,1
010900000840,DIAMOND 25sq FT ALUMINUM FOIL,1.35,1
