ASIN,UPC,Description,Cost,Sell Price,Seller Count,Amazon Present %,Amazon Is Buybox,Monthly Sold (Keepa),BSR,Category,Title
B08RHCYF1F,037000806578,"Febreze Light AIR Mist, Lavender 8.8 oz Each 2pk 180/pt 3/cs",3.2499,20.99,5,83.8,False,0,88203,Spray,"Febreze Air Mist Air Freshener Spray, Odor-Fighting Room Spray, Air Fresheners for Home and Bathroom and Kitchen, Aerosol Can, Light Lavender Scent, 8.8oz, 2 Count"
B09VDQ5HVV,019200998505,Resolve Pet Specialist Stain & Odor Remover Spray 32 oz 12/cs,4.5,18.34,13,70.1,False,1000,4402,Household Supplies,"Resolve Pet Specialist Carpet Cleaner, Stain Remover and Odor eliminator trigger, Floor and Upholstery Cleaner, 32 oz (Packaging may Vary)"
B0B17KDC3C,044600324289,"Clorox Performance Bleach, 121 Oz 56/pt 3/cs",5.7501,35.45,5,76.9,False,900,39289,Bleach,"Clorox liquid bleach cleaner for laundry and bathroom, HE performance, 121 oz bottle, 3 pack, unscented"
B0BB87V13G,037000003403,Crest Toothpaste Cavity Protection Regular 0.85 oz 36/cs,0.8496,7.6,33,0.0,False,100,10924,Toothpaste,"Crest Cavity Protection Regular Toothpaste, Travel Size .85 oz. (24g) - Pack of 6"
B0BBNB5N41,033200002604,Arm & Hammer Plus OxiClean Stain Fighters Fresh Scent 100.5 oz 50/pt4/cs,9.5,0.0,4,93.6,False,100,3952,Liquid Detergent,"ARM & HAMMER Plus OxiClean Fresh Scent, 77 Loads Liquid Laundry Detergent, 100.5 Fl oz"
B0BC2J9T8S,062338032931,Air Wick Automatic Spray Refill 2 Ct 5.89 Each Fresh New Day Pet Fresh Cotton 273/pt 3/cs,3.5001,0.0,6,63.6,False,50,5760,Spray,"Air Wick Automatic Spray Fresh New Day, 2ct, Pet Fresh Cotton, Air Freshener, Essential Oils, Odor Neutralization"
B0BMWDN781,037000537823,DAWN Simply Clean Dishwashing Liquid Original Scent 14.6 OZ 50/pt 20/cs,1.5,6.59,54,0.0,False,100,99667,Dish Soap,Dawn Non-Concentrated Simply Clean Original Scent (1)
B0C4M9LFL7,030772047675,Febreze Ocean Touch Fabric Spray Fabric Refresher 16.9 FL oz 100/pt 6/cs,3.6498,20.86,28,90.5,False,50,95158,Fabric Deodorizer,"Febreze Touch Fabric Spray Ocean, 16.9 oz (2 pack)"
B0CCGFRFWF,030772087664,Downy Infusions Refresh Birch Water Botanicals Scent Booster Beads 24 oz 80/pt 4/cs,12.5,38.98,17,98.7,False,100,86905,Fabric Deodorizer,"Downy Infusions In-Wash Laundry Scent Booster Beads, REFRESH, Botanical Florals and Birch Water Scent, 24 oz"
B0CL1HSKHV,022600003021,Nair Shower Cream Hair Remover Moroccan Argan Oil & Orange Blossom 12 oz 12/cs,6.5004,20.61,5,98.1,False,1000,31362,Depilatories,"Nair Shower Hair Removal Cream, Moroccan Argan Oil & Orange Blossom, 12 Oz"
B0CPKFZ3VH,037000523703,Ivory Bar Soap Original 317oz Each 2pk Total 6.3oz 84/pt 36/cs,1.35,8.25,1,83.3,False,50,456,Soaps,"Ivory Gentle Bath Bar Soap, Designed for Whole Family, 99.44% Pure Formula with Plant-Based Cleansers, Made Without Heavy Perfumes, Parabens or Phthalates, Original Scent, 3.17 oz (2 Count)"
B0CQ3D4VJ2,030772121160,Tide Liquid Laundry Detergent 63oz Clean Breeze Brise Pure 60/pt 4/cs,12.0,29.48,1,95.4,False,50,45,Liquid Detergent,"Tide Laundry Detergent Liquid, Clean Breeze Scent, 48 Loads, 60 fl oz, Works on 100% of Common Stains"
B0CRCMG4LV,030772101247,Febreze Air mist Refresh & Energize Zesty Orange Blossom 8.8oz 180/pt 6/cs,3.2502,18.99,8,99.2,False,100,120378,Electric,"Febreze Air Mist Refresh & Energize Zesty orange Blossom Scented 3 pack, Blue"
B0CRJT2YF4,042000946490,Quilted Northern Ultra Soft & Strong Super Mega Toilet Paper White (438 2-ply Sheets Roll) 8 Rolls 45/pt 3/cs,6.6501,31.99,4,74.6,False,200,136,Toilet Paper,"Quilted Northern Ultra Soft & Strong Toilet Paper, 8 Super Mega Rolls = 48 Regular Rolls, 5X Stronger*, Premium Soft Toilet Tissue"
B0CZTTWWXG,072613473335,"All Liquid Laundry Detergent, Sunshine Fresh Scent OXI Plus Odor Lifter 36 oz 56/pt 6/cs",5.5002,24.95,16,50.0,False,0,128493,Liquid Detergent,"All, Fresh Clean Liquid Laundry Detergent Oxi Plus Odor Lifter, 36 Fl Oz"
B0DRPJK8MP,037000945970,Ariel Powder Laundry Detergent Original Scent 17 oz 24/cs,2.3496,12.48,8,0.0,False,500,43498,Powder Detergent,"Ariel, Powder Detergent, 17 Ounce"
B0F6LYJN4Z,024200044879,"Persil Advanced Clean Liquid Laundry Detergent, Oxi + Odor, Power, 40 fl oz 56/pt 6/cs",5.5002,19.99,2,0.0,False,50,232724,Liquid Detergent,"Persil Advanced Clean Laundry Detergent with Oxi-Odor Power, Powerful Stain and Odor Removal"
B0F8BXFTBB,030772164976,Ivory Gentle Exfoliating Bar Soap Notes of Warm Vanilla + Oat Milk 4pk 3.17Each 120/pt 8/cs,2.7504,11.47,2,89.8,False,50,69924,Soaps,"Ivory Exfoliating Bath Bar Soap, Designed for Whole Family with Plant-Based Cleansers, Made Without Heavy Perfumes, Parabens or Phthalates, Warm Vanilla + Oat Milk Scent, 3.17 oz (4 Count)"
B0F8JLT17R,030772225752,Olay Body Wash Wickedly Wonderful Hyaluronic 20 fl oz 168/pt 4/cs,5.5,15.99,7,85.9,False,100,1958,Body Washes,"Olay Body Wash for Women, Wickedly Wonderful Elphaba’s Edition, Intensely Hydrating & Renewing, Pro-Hyaluronic Acid Serum with Vitamin B3, For All Skin Types, Cashmere Woods & Lime Scent, 20 fl oz"
B0FTZPSXLS,034000463053,HERSHEY'S Miniatures Assorted Chocolate Candy 30oz 32/pt 8/cs,6.7504,22.83,1,69.2,False,8000,4609,Variety Packs,"HERSHEY'S Miniatures Assorted Chocolate Candy Variety Pack, 30 oz"
