ItemCode,Description,CasePack,Source,Search Query,Best ASIN,Matched Title,BSR,Monthly Sold,Seller Count,Amazon Present %,Amazon Is Buybox,Category
TDL10-00763,10oz Tide Simply Detergent Refreshing Breeze,12,20d3b551-AB_Catalog_part001020.pdf,Tide Simply Detergent Refreshing Breeze,B0CPTG25CB,"Tide Simply All-In-One Liquid Laundry Detergent, Refreshing Breeze Scent, 128 Loads, 168 fl oz",163,10000,10,94.2,True,Liquid Detergent
Tide-17988,850ml{28.74oz} Tide Liquid Top Load,12,20d3b551-AB_Catalog_part001020.pdf,Tide Liquid Top Load,,,,,,,,
TDDSP-23021,Tide Display Laundry Liquid Detergent 25oz Original Original HE,18,20d3b551-AB_Catalog_part001020.pdf,Tide Display Laundry Liquid Detergent Original,,,,,,,,
TDL25-90391,25oz Tide Simply Detergent Daybreak Fresh,6,20d3b551-AB_Catalog_part001020.pdf,Tide Simply Detergent Daybreak Fresh,B0DPGH8KKD,"Tide Simply, All-In-One Liquid Laundry Detergent, Daybreak Fresh Scent, 138 Loads, 173 fl oz",163,4000,3,91.0,True,Liquid Detergent
TDL31-90816,31oz Tide Simply Detergent Oxi Boost+Ultra Stain release,6,20d3b551-AB_Catalog_part001020.pdf,Tide Simply Detergent Oxi Boost Ultra,B0B78BR8VB,"Tide Simply Oxi Boost + Ultra Stain Release Laundry Detergent, 10 fl oz, 6 Loads, Tough on Stains, Whitens, Brightens, Refreshing Breeze Scent",270901,0,5,97.2,False,Liquid Detergent
TDL31-11593,31oz Tide Simply Detergent Oxy Boost+Febreze Odor Defens,6,20d3b551-AB_Catalog_part001020.pdf,Tide Simply Detergent Oxy Boost Febreze,,,,,,,,
TDL32-12092,32oz Tide Simply Detergent Daybreak Fresh,6,20d3b551-AB_Catalog_part001020.pdf,Tide Simply Detergent Daybreak Fresh,B0DPGH8KKD,"Tide Simply, All-In-One Liquid Laundry Detergent, Daybreak Fresh Scent, 138 Loads, 173 fl oz",163,4000,3,91.0,True,Liquid Detergent
TDL34-12088,34oz Tide Simply Detergent Refreshing Breeze,6,20d3b551-AB_Catalog_part001020.pdf,Tide Simply Detergent Refreshing Breeze,B0CPTG25CB,"Tide Simply All-In-One Liquid Laundry Detergent, Refreshing Breeze Scent, 128 Loads, 168 fl oz",163,10000,10,94.2,True,Liquid Detergent
TDL37-75268,DIUQIL YRDNUAL 37oz Tide Laundry Liquid Detergent Ultra Oxy Boost HE,6,20d3b551-AB_Catalog_part001020.pdf,Tide Laundry Liquid Detergent Ultra Oxy,,,,,,,,
TDL37-73975,37oz Tide Laundry Liquid Detergent April Fresh W/Downy,6,20d3b551-AB_Catalog_part001020.pdf,Tide Laundry Liquid Detergent April Fresh,B0DSCL6S9R,"Tide Plus Boost of Ultra Downy Liquid Laundry Detergent, April Fresh Scent, 92 fl oz, 65 Loads, Laundry Detergent Liquid with Long-Lasting Freshness",58,0,3,90.2,False,Liquid Detergent
TDL63-29487,63oz Tide Laundry Liquid Original,6,20d3b551-AB_Catalog_part001020.pdf,Tide Laundry Liquid Original,B0CQ42Q5J9,"Tide Laundry Detergent Liquid, Original Scent, 80 Loads, 100 FL OZ, Works on 100% of Common Stains, Laundry Soap, Liquid Laundry Detergent",58,10000,7,99.3,True,Liquid Detergent
TDL84-21880,84.5oz Tide Laundry Liquid Touch Of Freshness,4,20d3b551-AB_Catalog_part001020.pdf,Tide Laundry Liquid Touch Freshness,,,,,,,,
TDL105-13441,105oz Tide Simply Laundry Liquid Detergent Refreshing Breeze,4,20d3b551-AB_Catalog_part001020.pdf,Tide Simply Laundry Liquid Detergent Refreshing,B0CPTG25CB,"Tide Simply All-In-One Liquid Laundry Detergent, Refreshing Breeze Scent, 128 Loads, 168 fl oz",163,10000,10,94.2,True,Liquid Detergent
TDL165-04305,165oz Tide Liq 107 ld Simply Daybreak Fresh,4,20d3b551-AB_Catalog_part001020.pdf,Tide Liq ld Simply Daybreak Fresh,,,,,,,,
Ajax40-04100,40Oz Ajax Laundry Liquid Classic Original HE,8,20d3b551-AB_Catalog_part001020.pdf,Ajax Laundry Liquid Classic Original HE,,,,,,,,
Ajax60-04103,60oz Ajax Laundry Detergent Oxi Overload Fresh Burst,8,20d3b551-AB_Catalog_part001020.pdf,Ajax Laundry Detergent Oxi Overload Fresh,,,,,,,,
AJAX60-04102,60oz Ajax Laundry Detergent Mountain Air,8,20d3b551-AB_Catalog_part001020.pdf,Ajax Laundry Detergent Mountain Air,B0F12T65PR,"Ajax Mountain Air Liquid Laundry Detergent, Fresh Clean Scent, HE Compatible, 80 Loads, 60 fl oz Bottles, Pack of 2",393211,0,0,0.0,False,Liquid Detergent
Ajax60-04101,60oz Ajax Laundry Detergent 5 in 1 Fusion Midnight Fressia,8,20d3b551-AB_Catalog_part001020.pdf,Ajax Laundry Detergent Fusion Midnight Fressia,,,,,,,,
Ajax60-04107,60Oz Ajax Laundry Detergent Linen Lemon,8,20d3b551-AB_Catalog_part001020.pdf,Ajax Laundry Detergent Linen Lemon,B0DYWZG3R5,"Ajax SBG Liquid Laundry Detergent, Linen & Lemon Scent, 134 fl oz (Pack of 2), 178 Loads, Concentrated Laundry Detergent for HE & Standard Washers",413872,0,0,0.0,False,Liquid Detergent
Ajax60-04105,60oz Ajax Laundry Detergent Rainbow 3D Color Vault Cherry Berry,8,20d3b551-AB_Catalog_part001020.pdf,Ajax Laundry Detergent Rainbow 3D Color,B07BGLSJ8S,Rainbow 3D Liquid Laundry Detergent with Color Vault by Ajax | Works in All Standard & HE Washing Machines | Hot & Cold Water | Concentrated Colorstay Formula | Sweet Cherry Blossom Scent | 60 Oz.,1088948,0,5,50.0,False,Liquid Detergent
Ajax134-04108,134 oz Ajax Laundry Detergent Oxi Overload,4,20d3b551-AB_Catalog_part001020.pdf,oz Ajax Laundry Detergent Oxi Overload,,,,,,,,
Roma-41663,128oz Roma Laundry Liquid Detergent,4,20d3b551-AB_Catalog_part001020.pdf,Roma Laundry Liquid Detergent,B07T751C27,"Roma, Liquid Laundry Detergent Biodegradable - 33.8 Ounce (Pack of 2)",120715,0,30,0.0,False,Liquid Detergent
Foca-42667,240oz Foca Laundry Liquid Detergent,2,20d3b551-AB_Catalog_part001020.pdf,Foca Laundry Liquid Detergent,B00ML7JU2Y,"Foca Liquid Laundry Detergent Soap, 10 Kg",117029,100,1,0.0,False,Liquid Detergent
Zote-10002,33.8oz Zote White Liquid Detergent,12,20d3b551-AB_Catalog_part001020.pdf,Zote White Liquid Detergent,B0DHN55ZQ5,"Liquid Laundry Detergent ZOTE - Pink & White, 33.8 oz Each - Powerful Stain Remover for Standard & HE Washing Machines - Effective Formula for Clean, Fresh Clothes",104240,50,1,0.0,False,Liquid Detergent
Zote-10003,33.8oz Zote Pink Liquid Detergent,12,20d3b551-AB_Catalog_part001020.pdf,Zote Pink Liquid Detergent,B0DHN55ZQ5,"Liquid Laundry Detergent ZOTE - Pink & White, 33.8 oz Each - Powerful Stain Remover for Standard & HE Washing Machines - Effective Formula for Clean, Fresh Clothes",104240,50,1,0.0,False,Liquid Detergent
Zote-10004,128oz Zote Laundry Liquid Soap,4,20d3b551-AB_Catalog_part001020.pdf,Zote Laundry Liquid Soap,B0FRN83DCD,ZOTE White Liquid Laundry Detergent Soap Jabon 33.81fl oz/1 liter (Pack of 3),136002,50,1,0.0,False,Liquid Detergent
XTRA-00093,56oz Xtra Laundry Liquid Detergent Crystal Clean,6,20d3b551-AB_Catalog_part001020.pdf,Xtra Laundry Liquid Detergent Crystal Clean,B0BZMZMLWN,XTRA LAUNDRY DETERGENT LIQUID CRYSTAL CLEAN JUG 56 FLUID OUNCE,279929,0,19,0.0,False,Stain Removers
XTRA-00096,56oz Xtra Laundry Liquid Detergent Sparking Fresh,6,20d3b551-AB_Catalog_part001020.pdf,Xtra Laundry Liquid Detergent Sparking Fresh,,,,,,,,
XTRA-02005,57.6oz Xtra Laundry Liquid Detergent Woodland Mist {Mountain Rain},6,20d3b551-AB_Catalog_part001020.pdf,Xtra Laundry Liquid Detergent Woodland Mist,,,,,,,,
XTRA-02007,LAUNDRY 57.6oz Xtra Laundry Liquid Detergent Calypso Fresh,6,20d3b551-AB_Catalog_part001020.pdf,LAUNDRY Xtra Laundry Liquid Detergent Calypso,B01HM3A67E,Xtra ScentSations Calypso Fresh Liquid Laundry Detergent 250 Fl Oz (1) (1),1234632,0,0,0.0,False,Liquid Detergent
XTRA-02004,57.6oz Xtra Laundry Liquid Detergent Tropical Passion,6,20d3b551-AB_Catalog_part001020.pdf,Xtra Laundry Liquid Detergent Tropical Passion,B0FDDD51BP,XTRA LAUNDRY DETERGENT LIQUID TROPICAL PASSION JUG 57.6 FLUID OUNCE,140872,50,2,99.2,True,Liquid Detergent
XTRA-42932,97.7oz Xtra Laundry Liquid Detergent W/Odor Blaster,4,20d3b551-AB_Catalog_part001020.pdf,Xtra Laundry Liquid Detergent Odor Blaster,,,,,,,,
XTRA-00703,97.7oz Xtra Laundry Liquid Detergent Crystal Clean,4,20d3b551-AB_Catalog_part001020.pdf,Xtra Laundry Liquid Detergent Crystal Clean,B0BZMZMLWN,XTRA LAUNDRY DETERGENT LIQUID CRYSTAL CLEAN JUG 56 FLUID OUNCE,279929,0,19,0.0,False,Stain Removers
XTRA-00702,97.7oz Xtra Laundry Liquid Detergent Lavender Sweet Vanilla,4,20d3b551-AB_Catalog_part001020.pdf,Xtra Laundry Liquid Detergent Lavender Sweet,B00M9423OQ,"Xtra Lavender & Sweet Vanilla Liquid Laundry Detergent, 175 fl oz",0,0,0,0.0,False,
XTRA-42931,136.4oz Xtra Laundry Liquid Detergent W/Odor Blast,4,20d3b551-AB_Catalog_part001020.pdf,Xtra Laundry Liquid Detergent Odor Blast,,,,,,,,
XTRA-42915,136.4oz Xtra Laundry Liquid Detergent Crystal Clean,4,20d3b551-AB_Catalog_part001020.pdf,Xtra Laundry Liquid Detergent Crystal Clean,B0BZMZMLWN,XTRA LAUNDRY DETERGENT LIQUID CRYSTAL CLEAN JUG 56 FLUID OUNCE,279929,0,19,0.0,False,Stain Removers
XTRA-42916,136.4oz Xtra Laundry Liquid Detergent Lavender & Vanilla,4,20d3b551-AB_Catalog_part001020.pdf,Xtra Laundry Liquid Detergent Lavender Vanilla,B00M9423OQ,"Xtra Lavender & Sweet Vanilla Liquid Laundry Detergent, 175 fl oz",0,0,0,0.0,False,
XTRA-42918,136.4oz Xtra Laundry Liquid Detergent Sparkling Fresh,4,20d3b551-AB_Catalog_part001020.pdf,Xtra Laundry Liquid Detergent Sparkling Fresh,B00H3R1YM6,Xtra Sparkling Fresh with Color-Safe Bleach Alternative Liquid Laundry Detergent - 39 Loads,0,0,0,0.0,False,
XTRA-00012,139.2oz Xtra Laundry Liquid Detergent Woodland Mist,4,20d3b551-AB_Catalog_part001020.pdf,Xtra Laundry Liquid Detergent Woodland Mist,,,,,,,,
XTRA-00013,139.2oz Xtra Laundry Liquid Detergent Tropical Passion,4,20d3b551-AB_Catalog_part001020.pdf,Xtra Laundry Liquid Detergent Tropical Passion,B0FDDD51BP,XTRA LAUNDRY DETERGENT LIQUID TROPICAL PASSION JUG 57.6 FLUID OUNCE,140872,50,2,99.2,True,Liquid Detergent
