ASIN,UPC,Description,Cost,Sell Price
B00PG6M5BK,0886466441539,CS47190,10.0,44.99
B0058VT8YU,0857198108632,MINI GLASS JAR PDQ DISPLAY (6),0.0625,23.62
B00PG6M58I,0886466441546,4PC CERAMIC CANISTER SET W/SPOON,10.0,39.99
B09HR739G6,0886466371522,SC37153,0.4167,19.99
B09HR57RRT,0886466371539,SC37154,0.5417,16.73
B0761W7JYW,0886466443106,OV39859,4.0,17.99
B00M34O19C,0886466011398,ESSENCE 2PC SALT SET BEEHIVE COLOR GIFT BOX,3.0,12.97
B07HKPBM9Y,0886466478412,DOUBLE CEREAL DISPENSER COLOR GIFT BOX,2.0,15.03
